N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-8,54 MLWS	11,25					
2	-8,79 MLWS	11,50	19	36	19	13	
3	-9,04 MLWS	11,75	12	36	31	21	
4	-9,29 MLWS	12,00	15	72	46	17	
5	-9,54 MLWS	12,25	15	72	61	17	
6	-9,79 MLWS	12,50	15	72	76	17	
7	-10,04 MLWS	12,75	14	72	90	18	
8	-10,29 MLWS	13,00	14	72	104	18	
9	-10,54 MLWS	13,25	14	72	118	18	
10	-10,79 MLWS	13,50	13	72	131	19	
11	-11,04 MLWS	13,75	14	72	145	18	
12	-11,29 MLWS	14,00	14	72	159	18	
13	-11,54 MLWS	14,25	14	72	173	18	
14	-11,79 MLWS	14,50	14	72	187	18	
15	-12,04 MLWS	14,75	14	72	201	18	
16	-12,29 MLWS	15,00	13	72	214	19	
17	-12,54 MLWS	15,25	11	72	225	23	
18	-12,79 MLWS	15,50	11	72	236	23	
19	-13,04 MLWS	15,75	9	72	245	28	
20	-13,29 MLWS	16,00	9	72	254	28	
21	-13,54 MLWS	16,25	9	72	263	28	
22	-13,79 MLWS	16,50	9	72	272	28	
23	-14,04 MLWS	16,75	8	72	280	31	
24	-14,29 MLWS	17,00	6	72	286	42	
25	-14,54 MLWS	17,25	15	72	301	17	
26	-14,79 MLWS	17,50	12	72	313	21	
27	-15,04 MLWS	17,75	12	72	325	21	
28	-15,29 MLWS	18,00	10	72	335	25	
29	-15,54 MLWS	18,25	9	72	344	28	
30	-15,79 MLWS	18,50	8	72	352	31	
31	-16,04 MLWS	18,75	8	72	360	31	
32	-16,29 MLWS	19,00	6	72	366	42	
33	-16,54 MLWS	19,25	7	72	373	36	
34	-16,79 MLWS	19,50	7	72	380	36	
35	-17,04 MLWS	19,75	6	72	386	42	
36	-17,29 MLWS	20,00	6	72	392	42	
37	-17,54 MLWS	20,25	6	72	398	42	
38	-17,79 MLWS	20,50	7	72	405	36	
39	-18,04 MLWS	20,75	6	72	411	42	
40	-18,29 MLWS	21,00	6	72	417	42	
41	-18,54 MLWS	21,25	6	72	423	42	
42	-18,79 MLWS	21,50	6	72	429	42	
43	-19,04 MLWS	21,75	6	72	435	42	
44	-19,29 MLWS	22,00	6	72	441	42	
45	-19,54 MLWS	22,25	7	72	448	36	
46	-19,79 MLWS	22,50	7	72	455	36	
47	-20,04 MLWS	22,75	7	72	462	36	
48	-20,29 MLWS	23,00	8	72	470	31	
49	-20,54 MLWS	23,25	7	72	477	36	
50	-20,79 MLWS	23,50	7	72	484	36	
51	-21,04 MLWS	23,75	8	72	492	31,3	
52	-21,29 MLWS	24,00	9	72	501	27,8	
53	-21,54 MLWS	24,25	9	72	510	27,8	
54	-21,79 MLWS	24,50	9	72	519	27,8	
55	-22,04 MLWS	24,75	9	72	528	27,8	
56	-22,29 MLWS	25,00	9	72	537	27,8	
57	-22,54 MLWS	25,25	7	72	544	35,7	
58	-22,79 MLWS	25,50	8	72	552	31,3	
59	-23,04 MLWS	25,75	8	72	560	31,3	
60	-23,29 MLWS	26,00	8	72	568	31,3	
61	-23,54 MLWS	26,25	8	72	576	31,3	
62	-23,79 MLWS	26,50	8	72	584	31,3	
63	-24,04 MLWS	26,75	8	72	592	31,3	
64	-24,29 MLWS	27,00	8	72	600	31,3	
65	-24,54 MLWS	27,25	8	72	608	31,3	
66	-24,79 MLWS	27,50	10	72	618	25,0	
67	-25,04 MLWS	27,75	9	72	627	27,8	
68	-25,29 MLWS	28,00	9	72	636	27,8	
69	-25,54 MLWS	28,25	9	72	645	27,8	
70	-25,79 MLWS	28,50	9	72	654	27,8	
71	-26,04 MLWS	28,75	10	72	664	25,0	
72	-26,29 MLWS	29,00	9	72	673	27,8	
73	-26,54 MLWS	29,25	10	72	683	25,0	
74	-26,79 MLWS	29,50	9	72	692	27,8	
