N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-7,41 MLWS	10,25					
2	-7,66 MLWS	10,50	23	30	23	11	
3	-7,91 MLWS	10,75	15	30	38	17	
4	-8,16 MLWS	11,00	14	30	52	18	
5	-8,41 MLWS	11,25	11	30	63	23	
6	-8,66 MLWS	11,50	11	30	74	23	
7	-8,91 MLWS	11,75	11	30	85	23	
8	-9,16 MLWS	12,00	11	30	96	23	
9	-9,41 MLWS	12,25	12	30	108	21	
10	-9,66 MLWS	12,50	14	30	122	18	
11	-9,91 MLWS	12,75	20	30	142	13	
12	-10,16 MLWS	13,00	20	30	162	13	
13	-10,41 MLWS	13,25	20	30	182	13	
14	-10,66 MLWS	13,50	20	30	202	13	
15	-10,91 MLWS	13,75	19	30	221	13	
16	-11,16 MLWS	14,00	19	30	240	13	
17	-11,41 MLWS	14,25	20	30	260	13	
18	-11,66 MLWS	14,50	20	30	280	13	
19	-11,91 MLWS	14,75	20	30	300	13	
20	-12,16 MLWS	15,00	18	30	318	14	
21	-12,41 MLWS	15,25	16	30	334	16	
22	-12,66 MLWS	15,50	16	30	350	16	
23	-12,91 MLWS	15,75	16	30	366	16	
24	-13,16 MLWS	16,00	16	30	382	16	
25	-13,41 MLWS	16,25	16	30	398	16	
26	-13,66 MLWS	16,50	14	30	412	18	
27	-13,91 MLWS	16,75	14	30	426	18	
28	-14,16 MLWS	17,00	14	30	440	18	
29	-14,41 MLWS	17,25	14	30	454	18	
30	-14,66 MLWS	17,50	10	30	464	25	
31	-14,91 MLWS	17,75	11	30	475	23	
32	-15,16 MLWS	18,00	10	30	485	25	
33	-15,41 MLWS	18,25	10	30	495	25	
34	-15,66 MLWS	18,50	11	30	506	23	
35	-15,91 MLWS	18,75	11	30	517	23	
36	-16,16 MLWS	19,00	10	30	527	25	
37	-16,41 MLWS	19,25	11	30	538	23	
38	-16,66 MLWS	19,50	9	30	547	28	
39	-16,91 MLWS	19,75	9	30	556	28	
40	-17,16 MLWS	20,00	8	30	564	31	
41	-17,41 MLWS	20,25	9	30	573	28	
42	-17,66 MLWS	20,50	9	30	582	28	
