N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-37,92 MLWS	38,75					
2	-38,17 MLWS	39,00	5	36	5	50	
3	-38,42 MLWS	39,25	9	36	14	28	
4	-38,67 MLWS	39,50	9	36	23	28	
5	-38,92 MLWS	39,75	8	36	31	31	
6	-39,17 MLWS	40,00	8	36	39	31	
7	-39,42 MLWS	40,25	8	36	47	31	
8	-39,67 MLWS	40,50	8	36	55	31	
9	-39,92 MLWS	40,75	8	36	63	31	
10	-40,17 MLWS	41,00	8	36	71	31	
11	-40,42 MLWS	41,25	8	36	79	31	
12	-40,67 MLWS	41,50	8	36	87	31	
13	-40,92 MLWS	41,75	8	36	95	31	
14	-41,17 MLWS	42,00	8	36	103	31	
15	-41,42 MLWS	42,25	9	36	112	28	
16	-41,67 MLWS	42,50	9	36	121	28	
17	-41,92 MLWS	42,75	9	36	130	28	
18	-42,17 MLWS	43,00	9	36	139	28	
19	-42,42 MLWS	43,25	10	36	149	25	
20	-42,67 MLWS	43,50	10	36	159	25	
21	-42,92 MLWS	43,75	10	36	169	25	
22	-43,17 MLWS	44,00	10	36	179	25	
23	-43,42 MLWS	44,25	10	36	189	25	
24	-43,67 MLWS	44,50	10	36	199	25	
25	-43,92 MLWS	44,75	10	36	209	25	
26	-44,17 MLWS	45,00	10	36	219	25	
27	-44,42 MLWS	45,25	11	36	230	23	
28	-44,67 MLWS	45,50	15	36	245	17	
29	-44,92 MLWS	45,75	15	36	260	17	
30	-45,17 MLWS	46,00	15	36	275	17	
31	-45,42 MLWS	46,25	15	36	290	17	
32	-45,67 MLWS	46,50	15	36	305	17	
33	-45,92 MLWS	46,75	15	36	320	17	
34	-46,17 MLWS	47,00	15	36	335	17	
35	-46,42 MLWS	47,25	15	36	350	17	
36	-46,67 MLWS	47,50	19	36	369	13	
37	-46,92 MLWS	47,75	19	36	388	13	
38	-47,17 MLWS	48,00	19	36	407	13	
39	-47,42 MLWS	48,25	23	36	430	11	
40	-47,67 MLWS	48,50	23	36	453	11	
41	-47,92 MLWS	48,75	23	36	476	11	
42	-48,17 MLWS	49,00	23	36	499	11	
43	-48,42 MLWS	49,25	23	36	522	11	
44	-48,67 MLWS	49,50	23	36	545	11	
45	-48,92 MLWS	49,75	23	36	568	11	
46	-49,17 MLWS	50,00	23	36	591	11	
47	-49,42 MLWS	50,25	23	36	614	11	
48	-49,67 MLWS	50,50	23	36	637	11	
49	-49,92 MLWS	50,75	23	36	660	11	
50	-50,17 MLWS	51,00	23	36	683	11	
51	-50,42 MLWS	51,25	23	36	706	10,9	
52	-50,67 MLWS	51,50	23	36	729	10,9	
53	-50,92 MLWS	51,75	23	36	752	10,9	
54	-51,17 MLWS	52,00	24	36	776	10,4	
55	-51,42 MLWS	52,25	24	36	800	10,4	
56	-51,67 MLWS	52,50	24	36	824	10,4	
57	-51,92 MLWS	52,75	24	36	848	10,4	
58	-52,17 MLWS	53,00	24	36	872	10,4	
59	-52,42 MLWS	53,25	25	36	897	10,0	
60	-52,67 MLWS	53,50	25	36	922	10,0	
61	-52,92 MLWS	53,75	25	36	947	10,0	
62	-53,17 MLWS	54,00	25	36	972	10,0	
63	-53,42 MLWS	54,25	28	36	1.000	8,9	
64	-53,67 MLWS	54,50	28	36	1.028	8,9	
65	-53,92 MLWS	54,75	24	60	1.052	10,4	
66	-54,17 MLWS	55,00	24	60	1.076	10,4	
67	-54,42 MLWS	55,25	25	60	1.101	10,0	
68	-54,67 MLWS	55,50	25	60	1.126	10,0	
69	-54,92 MLWS	55,75	25	60	1.151	10,0	
70	-55,17 MLWS	56,00	25	60	1.176	10,0	
71	-55,42 MLWS	56,25	25	60	1.201	10,0	
72	-55,67 MLWS	56,50	25	60	1.226	10,0	
73	-55,92 MLWS	56,75	30	60	1.256	8,3	
74	-56,17 MLWS	57,00	30	60	1.286	8,3	
75	-56,42 MLWS	57,25	30	70	1.316	8,3	
76	-56,67 MLWS	57,50	30	70	1.346	8,3	
77	-56,92 MLWS	57,75	30	80	1.376	8,3	
78	-57,17 MLWS	58,00	30	80	1.406	8,3	
79	-57,42 MLWS	58,25	30	80	1.436	8,3	
80	-57,67 MLWS	58,50	28	80	1.464	8,9	
81	-57,92 MLWS	58,75	28	85	1.492	8,9	
82	-58,17 MLWS	59,00	28	85	1.520	8,9	
83	-58,42 MLWS	59,25	24	90	1.544	10,4	
84	-58,67 MLWS	59,50	24	90	1.568	10,4	
85	-58,92 MLWS	59,75	32	90	1.600	7,8	
86	-59,17 MLWS	60,00	32	95	1.632	7,8	
87	-59,42 MLWS	60,25	28	95	1.660	8,9	
88	-59,67 MLWS	60,50	28	95	1.688	8,9	
89	-59,92 MLWS	60,75	28	95	1.716	8,9	
90	-60,17 MLWS	61,00	28	100	1.744	8,9	
91	-60,42 MLWS	61,25	28	100	1.772	8,9	
92	-60,67 MLWS	61,50	28	100	1.800	8,9	
93	-60,92 MLWS	61,75	28	100	1.828	8,9	
94	-61,17 MLWS	62,00	28	100	1.856	8,9	
95	-61,42 MLWS	62,25	28	100	1.884	8,9	
96	-61,67 MLWS	62,50	29	120	1.913	8,6	
97	-61,92 MLWS	62,75	29	120	1.942	8,6	
98	-62,17 MLWS	63,00	29	120	1.971	8,6	
99	-62,42 MLWS	63,25	29	120	2.000	8,6	
100	-62,67 MLWS	63,50	29	120	2.029	8,6	
101	-62,92 MLWS	63,75	29	120	2.058	8,6	
102	-63,17 MLWS	64,00	29	120	2.087	8,6	
103	-63,42 MLWS	64,25	29	140	2.116	8,6	
104	-63,67 MLWS	64,50	29	140	2.145	8,6	
105	-63,92 MLWS	64,75	29	140	2.174	8,6	
106	-64,17 MLWS	65,00	29	140	2.203	8,6	
107	-64,42 MLWS	65,25	29	140	2.232	8,6	
108	-64,67 MLWS	65,50	32	140	2.264	7,8	
109	-64,92 MLWS	65,75	32	140	2.296	7,8	
110	-65,17 MLWS	66,00	32	140	2.328	7,8	
111	-65,42 MLWS	66,25	29	140	2.357	8,6	
112	-65,67 MLWS	66,50	29	170	2.386	8,6	
113	-65,92 MLWS	66,75	29	170	2.415	8,6	
114	-66,17 MLWS	67,00	27	170	2.442	9,3	
115	-66,42 MLWS	67,25	27	180	2.469	9,3	
116	-66,67 MLWS	67,50	27	180	2.496	9,3	
117	-66,92 MLWS	67,75	27	180	2.523	9,3	
118	-67,17 MLWS	68,00	27	180	2.550	9,3	
119	-67,42 MLWS	68,25	27	180	2.577	9,3	
120	-67,67 MLWS	68,50	27	180	2.604	9,3	
121	-67,92 MLWS	68,75	27	180	2.631	9,3	
122	-68,17 MLWS	69,00	29	180	2.660	8,6	
123	-68,42 MLWS	69,25	29	180	2.689	8,6	
124	-68,67 MLWS	69,50	29	190	2.718	8,6	
125	-68,92 MLWS	69,75	29	190	2.747	8,6	
126	-69,17 MLWS	70,00	29	190	2.776	8,6	
127	-69,42 MLWS	70,25	29	190	2.805	8,6	
128	-69,67 MLWS	70,50	30	190	2.835	8,3	
129	-69,92 MLWS	70,75	30	190	2.865	8,3	
130	-70,17 MLWS	71,00	30	190	2.895	8,3	
131	-70,42 MLWS	71,25	33	190	2.928	7,6	
132	-70,67 MLWS	71,50	33	190	2.961	7,6	
133	-70,92 MLWS	71,75	33	190	2.994	7,6	
134	-71,17 MLWS	72,00	33	190	3.027	7,6	
135	-71,42 MLWS	72,25	33	210	3.060	7,6	
136	-71,67 MLWS	72,50	33	210	3.093	7,6	
137	-71,92 MLWS	72,75	33	210	3.126	7,6	
138	-72,17 MLWS	73,00	33	210	3.159	7,6	
139	-72,42 MLWS	73,25	32	230	3.191	7,8	
140	-72,67 MLWS	73,50	32	230	3.223	7,8	
141	-72,92 MLWS	73,75	30	230	3.253	8,3	
142	-73,17 MLWS	74,00	30	230	3.283	8,3	
143	-73,42 MLWS	74,25	30	240	3.313	8,3	
144	-73,67 MLWS	74,50	30	240	3.343	8,3	
145	-73,92 MLWS	74,75	30	240	3.373	8,3	
146	-74,17 MLWS	75,00	33	240	3.406	7,6	
147	-74,42 MLWS	75,25	33	240	3.439	7,6	
148	-74,67 MLWS	75,50	33	240	3.472	7,6	
149	-74,92 MLWS	75,75	33	240	3.505	7,6	
150	-75,17 MLWS	76,00	33	240	3.538	7,6	
151	-75,42 MLWS	76,25	33	240	3.571	7,6	
152	-75,67 MLWS	76,50	35	240	3.606	7,1	
153	-75,92 MLWS	76,75	35	240	3.641	7,1	
154	-76,17 MLWS	77,00	35	240	3.676	7,1	
155	-76,42 MLWS	77,25	35	240	3.711	7,1	
156	-76,67 MLWS	77,50	35	240	3.746	7,1	
157	-76,92 MLWS	77,75	35	240	3.781	7,1	
158	-77,17 MLWS	78,00	35	240	3.816	7,1	
159	-77,42 MLWS	78,25	35	240	3.851	7,1	
160	-77,67 MLWS	78,50	35	240	3.886	7,1	
161	-77,92 MLWS	78,75	35	240	3.921	7,1	
162	-78,17 MLWS	79,00	42	240	3.963	6,0	
