N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-39,50 MLWS	40,50					
2	-39,75 MLWS	40,75	14	36	14	18	
3	-40,00 MLWS	41,00	8	36	22	31	
4	-40,25 MLWS	41,25	7	36	29	36	
5	-40,50 MLWS	41,50	7	36	36	36	
6	-40,75 MLWS	41,75	7	36	43	36	
7	-41,00 MLWS	42,00	7	36	50	36	
8	-41,25 MLWS	42,25	7	36	57	36	
9	-41,50 MLWS	42,50	7	36	64	36	
10	-41,75 MLWS	42,75	7	36	71	36	
11	-42,00 MLWS	43,00	6	36	77	42	
12	-42,25 MLWS	43,25	6	36	83	42	
13	-42,50 MLWS	43,50	7	36	90	36	
14	-42,75 MLWS	43,75	7	36	97	36	
15	-43,00 MLWS	44,00	7	36	104	36	
16	-43,25 MLWS	44,25	7	36	111	36	
17	-43,50 MLWS	44,50	6	36	117	42	
18	-43,75 MLWS	44,75	9	36	126	28	
19	-44,00 MLWS	45,00	9	36	135	28	
20	-44,25 MLWS	45,25	11	36	146	23	
21	-44,50 MLWS	45,50	10	36	156	25	
22	-44,75 MLWS	45,75	10	36	166	25	
23	-45,00 MLWS	46,00	11	36	177	23	
24	-45,25 MLWS	46,25	11	36	188	23	
25	-45,50 MLWS	46,50	12	36	200	21	
26	-45,75 MLWS	46,75	12	36	212	21	
27	-46,00 MLWS	47,00	12	36	224	21	
28	-46,25 MLWS	47,25	12	36	236	21	
29	-46,50 MLWS	47,50	14	36	250	18	
30	-46,75 MLWS	47,75	15	36	265	17	
31	-47,00 MLWS	48,00	17	36	282	15	
32	-47,25 MLWS	48,25	17	36	299	15	
33	-47,50 MLWS	48,50	17	36	316	15	
34	-47,75 MLWS	48,75	17	36	333	15	
35	-48,00 MLWS	49,00	16	36	349	16	
36	-48,25 MLWS	49,25	19	36	368	13	
37	-48,50 MLWS	49,50	17	36	385	15	
38	-48,75 MLWS	49,75	17	36	402	15	
39	-49,00 MLWS	50,00	17	36	419	15	
40	-49,25 MLWS	50,25	17	36	436	15	
41	-49,50 MLWS	50,50	17	36	453	15	
42	-49,75 MLWS	50,75	22	36	475	11	
43	-50,00 MLWS	51,00	20	36	495	13	
44	-50,25 MLWS	51,25	20	36	515	13	
45	-50,50 MLWS	51,50	19	36	534	13	
46	-50,75 MLWS	51,75	19	36	553	13	
47	-51,00 MLWS	52,00	18	36	571	14	
48	-51,25 MLWS	52,25	19	44	590	13	
49	-51,50 MLWS	52,50	19	44	609	13	
50	-51,75 MLWS	52,75	18	49	627	14	
51	-52,00 MLWS	53,00	18	49	645	13,9	
52	-52,25 MLWS	53,25	20	49	665	12,5	
53	-52,50 MLWS	53,50	22	49	687	11,4	
54	-52,75 MLWS	53,75	22	49	709	11,4	
55	-53,00 MLWS	54,00	21	49	730	11,9	
56	-53,25 MLWS	54,25	25	49	755	10,0	
57	-53,50 MLWS	54,50	24	53	779	10,4	
58	-53,75 MLWS	54,75	24	53	803	10,4	
59	-54,00 MLWS	55,00	24	53	827	10,4	
60	-54,25 MLWS	55,25	24	53	851	10,4	
61	-54,50 MLWS	55,50	26	53	877	9,6	
62	-54,75 MLWS	55,75	28	53	905	8,9	
63	-55,00 MLWS	56,00	22	58	927	11,4	
