N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-33,33 MLWS	34,25					
2	-33,58 MLWS	34,50	1	36	1	250	
3	-33,83 MLWS	34,75	4	36	5	63	
4	-34,08 MLWS	35,00	5	36	10	50	
5	-34,33 MLWS	35,25	5	36	15	50	
6	-34,58 MLWS	35,50	3	36	18	83	
7	-34,83 MLWS	35,75	4	36	22	63	
8	-35,08 MLWS	36,00	5	36	27	50	
9	-35,33 MLWS	36,25	3	36	30	83	
10	-35,58 MLWS	36,50	4	36	34	63	
11	-35,83 MLWS	36,75	3	36	37	83	
12	-36,08 MLWS	37,00	3	36	40	83	
13	-36,33 MLWS	37,25	4	36	44	63	
14	-36,58 MLWS	37,50	4	36	48	63	
15	-36,83 MLWS	37,75	4	36	52	63	
16	-37,08 MLWS	38,00	1	36	53	250	
17	-37,33 MLWS	38,25	5	36	58	50	
18	-37,58 MLWS	38,50	5	36	63	50	
19	-37,83 MLWS	38,75	5	36	68	50	
20	-38,08 MLWS	39,00	6	36	74	42	
21	-38,33 MLWS	39,25	5	36	79	50	
22	-38,58 MLWS	39,50	5	36	84	50	
23	-38,83 MLWS	39,75	6	36	90	42	
24	-39,08 MLWS	40,00	5	36	95	50	
25	-39,33 MLWS	40,25	6	36	101	42	
26	-39,58 MLWS	40,50	6	36	107	42	
27	-39,83 MLWS	40,75	6	36	113	42	
28	-40,08 MLWS	41,00	6	36	119	42	
29	-40,33 MLWS	41,25	7	36	126	36	
30	-40,58 MLWS	41,50	7	36	133	36	
31	-40,83 MLWS	41,75	7	36	140	36	
32	-41,08 MLWS	42,00	7	36	147	36	
33	-41,33 MLWS	42,25	7	36	154	36	
34	-41,58 MLWS	42,50	7	36	161	36	
35	-41,83 MLWS	42,75	7	36	168	36	
36	-42,08 MLWS	43,00	7	36	175	36	
37	-42,33 MLWS	43,25	8	36	183	31	
38	-42,58 MLWS	43,50	9	36	192	28	
39	-42,83 MLWS	43,75	8	36	200	31	
40	-43,08 MLWS	44,00	8	36	208	31	
41	-43,33 MLWS	44,25	8	36	216	31	
42	-43,58 MLWS	44,50	9	36	225	28	
43	-43,83 MLWS	44,75	9	36	234	28	
44	-44,08 MLWS	45,00	9	36	243	28	
45	-44,33 MLWS	45,25	10	36	253	25	
46	-44,58 MLWS	45,50	10	36	263	25	
47	-44,83 MLWS	45,75	12	36	275	21	
48	-45,08 MLWS	46,00	12	36	287	21	
49	-45,33 MLWS	46,25	10	36	297	25	
50	-45,58 MLWS	46,50	10	36	307	25	
51	-45,83 MLWS	46,75	13	36	320	19,2	
52	-46,08 MLWS	47,00	13	36	333	19,2	
53	-46,33 MLWS	47,25	13	36	346	19,2	
54	-46,58 MLWS	47,50	13	36	359	19,2	
55	-46,83 MLWS	47,75	13	36	372	19,2	
56	-47,08 MLWS	48,00	14	36	386	17,9	
57	-47,33 MLWS	48,25	16	36	402	15,6	
58	-47,58 MLWS	48,50	16	36	418	15,6	
59	-47,83 MLWS	48,75	16	36	434	15,6	
60	-48,08 MLWS	49,00	16	36	450	15,6	
61	-48,33 MLWS	49,25	16	36	466	15,6	
62	-48,58 MLWS	49,50	16	36	482	15,6	
63	-48,83 MLWS	49,75	22	36	504	11,4	
64	-49,08 MLWS	50,00	19	36	523	13,2	
65	-49,33 MLWS	50,25	17	36	540	14,7	
66	-49,58 MLWS	50,50	21	36	561	11,9	
67	-49,83 MLWS	50,75	21	36	582	11,9	
68	-50,08 MLWS	51,00	21	36	603	11,9	
69	-50,33 MLWS	51,25	20	36	623	12,5	
70	-50,58 MLWS	51,50	21	36	644	11,9	
71	-50,83 MLWS	51,75	22	36	666	11,4	
72	-51,08 MLWS	52,00	25	36	691	10,0	
73	-51,33 MLWS	52,25	25	36	716	10,0	
74	-51,58 MLWS	52,50	26	36	742	9,6	
75	-51,83 MLWS	52,75	27	36	769	9,3	
76	-52,08 MLWS	53,00	30	36	799	8,3	
77	-52,33 MLWS	53,25	30	36	829	8,3	
78	-52,58 MLWS	53,50	30	36	859	8,3	
79	-52,83 MLWS	53,75	28	51	887	8,9	
80	-53,08 MLWS	54,00	22	60	909	11,4	
81	-53,33 MLWS	54,25	22	60	931	11,4	
82	-53,58 MLWS	54,50	22	60	953	11,4	
83	-53,83 MLWS	54,75	21	60	974	11,9	
84	-54,08 MLWS	55,00	21	60	995	11,9	
85	-54,33 MLWS	55,25	23	60	1.018	10,9	
86	-54,58 MLWS	55,50	24	60	1.042	10,4	
87	-54,83 MLWS	55,75	25	60	1.067	10,0	
88	-55,08 MLWS	56,00	25	60	1.092	10,0	
89	-55,33 MLWS	56,25	24	60	1.116	10,4	
90	-55,58 MLWS	56,50	24	63	1.140	10,4	
91	-55,83 MLWS	56,75	24	63	1.164	10,4	
92	-56,08 MLWS	57,00	24	63	1.188	10,4	
93	-56,33 MLWS	57,25	25	63	1.213	10,0	
94	-56,58 MLWS	57,50	25	63	1.238	10,0	
95	-56,83 MLWS	57,75	25	63	1.263	10,0	
96	-57,08 MLWS	58,00	25	63	1.288	10,0	
97	-57,33 MLWS	58,25	26	66	1.314	9,6	
98	-57,58 MLWS	58,50	26	66	1.340	9,6	
99	-57,83 MLWS	58,75	28	66	1.368	8,9	
100	-58,08 MLWS	59	25	68	1.393	10,0	
101	-58,33 MLWS	59,25	26	68	1.419	9,6	
102	-58,58 MLWS	59,50	27	68	1.446	9,3	
103	-58,83 MLWS	59,75	28	68	1.474	8,9	
104	-59,08 MLWS	60,00	28	70	1.502	8,9	
105	-59,33 MLWS	60,25	28	70	1.530	8,9	
106	-59,58 MLWS	60,50	30	70	1.560	8,3	
107	-59,83 MLWS	60,75	28	70	1.588	8,9	
108	-60,08 MLWS	61,00	28	80	1.616	8,9	
109	-60,33 MLWS	61,25	25	80	1.641	10,0	
110	-60,58 MLWS	61,50	25	80	1.666	10,0	
111	-60,83 MLWS	61,75	25	80	1.691	10,0	
112	-61,08 MLWS	62,00	25	80	1.716	10,0	
113	-61,33 MLWS	62,25	25	80	1.741	10,0	
114	-61,58 MLWS	62,50	25	80	1.766	10,0	
115	-61,83 MLWS	62,75	22	85	1.788	11,4	
116	-62,08 MLWS	63,00	22	85	1.810	11,4	
117	-62,33 MLWS	63,25	22	85	1.832	11,4	
118	-62,58 MLWS	63,50	22	85	1.854	11,4	
119	-62,83 MLWS	63,75	22	85	1.876	11,4	
120	-63,08 MLWS	64,00	27	85	1.903	9,3	
121	-63,33 MLWS	64,25	30	85	1.933	8,3	
122	-63,58 MLWS	64,50	30	90	1.963	8,3	
