N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-37,83 MLWS	38,75					
2	-38,08 MLWS	39,00	6	36	6	42	
3	-38,33 MLWS	39,25	7	36	13	36	
4	-38,58 MLWS	39,50	7	36	20	36	
5	-38,83 MLWS	39,75	7	36	27	36	
6	-39,08 MLWS	40,00	7	36	34	36	
7	-39,33 MLWS	40,25	6	36	40	42	
8	-39,58 MLWS	40,50	6	36	46	42	
9	-39,83 MLWS	40,75	6	36	52	42	
10	-40,08 MLWS	41,00	6	36	58	42	
11	-40,33 MLWS	41,25	6	36	64	42	
12	-40,58 MLWS	41,50	6	36	70	42	
13	-40,83 MLWS	41,75	6	36	76	42	
14	-41,08 MLWS	42,00	6	36	82	42	
15	-41,33 MLWS	42,25	7	36	89	36	
16	-41,58 MLWS	42,50	6	36	95	42	
17	-41,83 MLWS	42,75	6	36	101	42	
18	-42,08 MLWS	43,00	7	36	108	36	
19	-42,33 MLWS	43,25	7	36	115	36	
20	-42,58 MLWS	43,50	8	36	123	31	
21	-42,83 MLWS	43,75	8	36	131	31	
22	-43,08 MLWS	44,00	8	36	139	31	
23	-43,33 MLWS	44,25	8	36	147	31	
24	-43,58 MLWS	44,50	8	36	155	31	
25	-43,83 MLWS	44,75	10	36	165	25	
26	-44,08 MLWS	45,00	9	36	174	28	
27	-44,33 MLWS	45,25	9	36	183	28	
28	-44,58 MLWS	45,50	10	36	193	25	
29	-44,83 MLWS	45,75	10	36	203	25	
30	-45,08 MLWS	46,00	12	36	215	21	
31	-45,33 MLWS	46,25	10	36	225	25	
32	-45,58 MLWS	46,50	12	36	237	21	
33	-45,83 MLWS	46,75	12	36	249	21	
34	-46,08 MLWS	47,00	12	36	261	21	
35	-46,33 MLWS	47,25	12	36	273	21	
36	-46,58 MLWS	47,50	14	36	287	18	
37	-46,83 MLWS	47,75	14	36	301	18	
38	-47,08 MLWS	48,00	14	36	315	18	
39	-47,33 MLWS	48,25	14	36	329	18	
40	-47,58 MLWS	48,50	16	36	345	16	
41	-47,83 MLWS	48,75	16	36	361	16	
42	-48,08 MLWS	49,00	16	36	377	16	
43	-48,33 MLWS	49,25	16	36	393	16	
44	-48,58 MLWS	49,50	16	36	409	16	
45	-48,83 MLWS	49,75	16	36	425	16	
46	-49,08 MLWS	50,00	18	36	443	14	
47	-49,33 MLWS	50,25	18	36	461	14	
48	-49,58 MLWS	50,50	18	36	479	14	
49	-49,83 MLWS	50,75	20	36	499	13	
50	-50,08 MLWS	51,00	20	36	519	13	
51	-50,33 MLWS	51,25	22	36	541	11,4	
52	-50,58 MLWS	51,50	24	36	565	10,4	
53	-50,83 MLWS	51,75	24	36	589	10,4	
54	-51,08 MLWS	52,00	28	36	617	8,9	
55	-51,33 MLWS	52,25	28	36	645	8,9	
56	-51,58 MLWS	52,50	28	44	673	8,9	
57	-51,83 MLWS	52,75	22	50	695	11,4	
58	-52,08 MLWS	53,00	24	50	719	10,4	
59	-52,33 MLWS	53,25	26	50	745	9,6	
60	-52,58 MLWS	53,50	26	50	771	9,6	
61	-52,83 MLWS	53,75	26	50	797	9,6	
62	-53,08 MLWS	54,00	28	50	825	8,9	
63	-53,33 MLWS	54,25	28	54	853	8,9	
64	-53,58 MLWS	54,50	30	54	883	8,3	
65	-53,83 MLWS	54,75	28	56	911	8,9	
66	-54,08 MLWS	55,00	28	58	939	8,9	
67	-54,33 MLWS	55,25	28	58	967	8,9	
68	-54,58 MLWS	55,50	28	60	995	8,9	
69	-54,83 MLWS	55,75	28	62	1.023	8,9	
70	-55,08 MLWS	56,00	28	62	1.051	8,9	
71	-55,33 MLWS	56,25	28	66	1.079	8,9	
72	-55,58 MLWS	56,50	28	69	1.107	8,9	
73	-55,83 MLWS	56,75	26	72	1.133	9,6	
74	-56,08 MLWS	57,00	32	72	1.165	7,8	
75	-56,33 MLWS	57,25	28	80	1.193	8,9	
76	-56,58 MLWS	57,50	26	80	1.219	9,6	
77	-56,83 MLWS	57,75	24	85	1.243	10,4	
78	-57,08 MLWS	58,00	26	85	1.269	9,6	
79	-57,33 MLWS	58,25	28	85	1.297	8,9	
80	-57,58 MLWS	58,50	30	90	1.327	8,3	
81	-57,83 MLWS	58,75	26	100	1.353	9,6	
82	-58,08 MLWS	59,00	26	100	1.379	9,6	
83	-58,33 MLWS	59,25	26	105	1.405	9,6	
84	-58,58 MLWS	59,50	28	110	1.433	8,9	
85	-58,83 MLWS	59,75	28	110	1.461	8,9	
86	-59,08 MLWS	60,00	28	120	1.489	8,9	
87	-59,33 MLWS	60,25	26	125	1.515	9,6	
88	-59,58 MLWS	60,50	26	125	1.541	9,6	
89	-59,83 MLWS	60,75	28	125	1.569	8,9	
90	-60,08 MLWS	61,00	30	130	1.599	8,3	
91	-60,33 MLWS	61,25	26	140	1.625	9,6	
92	-60,58 MLWS	61,50	28	140	1.653	8,9	
93	-60,83 MLWS	61,75	30	145	1.683	8,3	
94	-61,08 MLWS	62,00	28	145	1.711	8,9	
95	-61,33 MLWS	62,25	30	155	1.741	8,3	
96	-61,58 MLWS	62,50	28	155	1.769	8,9	
97	-61,83 MLWS	62,75	28	160	1.797	8,9	
98	-62,08 MLWS	63,00	28	170	1.825	8,9	
99	-62,33 MLWS	63,25	28	175	1.853	8,9	
100	-62,58 MLWS	63,5	28	175	1.881	8,9	
101	-62,83 MLWS	63,75	28	180	1.909	8,9	
102	-63,08 MLWS	64,00	28	180	1.937	8,9	
103	-63,33 MLWS	64,25	28	185	1.965	8,9	
104	-63,58 MLWS	64,50	26	195	1.991	9,6	
105	-63,83 MLWS	64,75	28	200	2.019	8,9	
106	-64,08 MLWS	65,00	30	190	2.049	8,3	
107	-64,33 MLWS	65,25	30	190	2.079	8,3	
108	-64,58 MLWS	65,50	30	195	2.109	8,3	
109	-64,83 MLWS	65,75	26	205	2.135	9,6	
110	-65,08 MLWS	66,00	28	205	2.163	8,9	
111	-65,33 MLWS	66,25	30	210	2.193	8,3	
112	-65,58 MLWS	66,50	28	215	2.221	8,9	
113	-65,83 MLWS	66,75	28	215	2.249	8,9	
114	-66,08 MLWS	67,00	28	215	2.277	8,9	
115	-66,33 MLWS	67,25	28	220	2.305	8,9	
116	-66,58 MLWS	67,50	28	220	2.333	8,9	
117	-66,83 MLWS	67,75	28	220	2.361	8,9	
118	-67,08 MLWS	68,00	28	220	2.389	8,9	
119	-67,33 MLWS	68,25	28	220	2.417	8,9	
120	-67,58 MLWS	68,50	28	225	2.445	8,9	
121	-67,83 MLWS	68,75	26	235	2.471	9,6	
122	-68,08 MLWS	69,00	28	235	2.499	8,9	
123	-68,33 MLWS	69,25	28	240	2.527	8,9	
124	-68,58 MLWS	69,50	28	245	2.555	8,9	
125	-68,83 MLWS	69,75	30	245	2.585	8,3	
126	-69,08 MLWS	70,00	26	245	2.611	9,6	
127	-69,33 MLWS	70,25	26	245	2.637	9,6	
128	-69,58 MLWS	70,50	28	250	2.665	8,9	
129	-69,83 MLWS	70,75	30	255	2.695	8,3	
130	-70,08 MLWS	71,00	28	255	2.723	8,9	
131	-70,33 MLWS	71,25	28	255	2.751	8,9	
132	-70,58 MLWS	71,50	28	260	2.779	8,9	
133	-70,83 MLWS	71,75	36	260	2.815	6,9	
134	-71,08 MLWS	72,00	34	260	2.849	7,4	
135	-71,33 MLWS	72,25	34	260	2.883	7,4	
136	-71,58 MLWS	72,50	32	260	2.915	7,8	
137	-71,83 MLWS	72,75	32	260	2.947	7,8	
138	-72,08 MLWS	73,00	36	260	2.983	6,9	
139	-72,33 MLWS	73,25	34	260	3.017	7,4	
140	-72,58 MLWS	73,50	34	260	3.051	7,4	
141	-72,83 MLWS	73,75	34	260	3.085	7,4	
142	-73,08 MLWS	74,00	42	260	3.127	6,0	
143	-73,33 MLWS	74,25	38	260	3.165	6,6	
144	-73,58 MLWS	74,50	36	260	3.201	6,9	
145	-73,83 MLWS	74,75	36	260	3.237	6,9	
146	-74,08 MLWS	75,00	36	260	3.273	6,9	
147	-74,33 MLWS	75,25	36	260	3.309	6,9	
148	-74,58 MLWS	75,50	34	260	3.343	7,4	
149	-74,83 MLWS	75,75	34	260	3.377	7,4	
150	-75,08 MLWS	76,00	42	260	3.419	6,0	
151	-75,33 MLWS	76,25	40	260	3.459	6,3	
152	-75,58 MLWS	76,50	36	260	3.495	6,9	
153	-75,83 MLWS	76,75	36	260	3.531	6,9	
154	-76,08 MLWS	77,00	36	260	3.567	6,9	
155	-76,33 MLWS	77,25	36	260	3.603	6,9	
156	-76,58 MLWS	77,50	36	260	3.639	6,9	
157	-76,83 MLWS	77,75	36	260	3.675	6,9	
158	-77,08 MLWS	78,00	36	260	3.711	6,9	
159	-77,33 MLWS	78,25	36	260	3.747	6,9	
160	-77,58 MLWS	78,50	34	260	3.781	7,4	
161	-77,83 MLWS	78,75	34	260	3.815	7,4	
162	-78,08 MLWS	79,00	38	250	3.853	6,6	
163	-78,33 MLWS	79,25	38	255	3.891	6,6	
