N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-37,99 MLWS	39,00					
2	-38,24 MLWS	39,25	8	36	8	31	
3	-38,49 MLWS	39,50	8	36	16	31	
4	-38,74 MLWS	39,75	8	36	24	31	
5	-38,99 MLWS	40,00	7	36	31	36	
6	-39,24 MLWS	40,25	7	36	38	36	
7	-39,49 MLWS	40,50	7	36	45	36	
8	-39,74 MLWS	40,75	6	36	51	42	
9	-39,99 MLWS	41,00	6	36	57	42	
10	-40,24 MLWS	41,25	6	36	63	42	
11	-40,49 MLWS	41,50	6	36	69	42	
12	-40,74 MLWS	41,75	6	36	75	42	
13	-40,99 MLWS	42,00	6	36	81	42	
14	-41,24 MLWS	42,25	6	36	87	42	
15	-41,49 MLWS	42,50	6	36	93	42	
16	-41,74 MLWS	42,75	7	36	100	36	
17	-41,99 MLWS	43,00	7	36	107	36	
18	-42,24 MLWS	43,25	7	36	114	36	
19	-42,49 MLWS	43,50	7	36	121	36	
20	-42,74 MLWS	43,75	7	36	128	36	
21	-42,99 MLWS	44,00	7	36	135	36	
22	-43,24 MLWS	44,25	9	36	144	28	
23	-43,49 MLWS	44,50	9	36	153	28	
24	-43,74 MLWS	44,75	9	36	162	28	
25	-43,99 MLWS	45,00	9	36	171	28	
26	-44,24 MLWS	45,25	9	36	180	28	
27	-44,49 MLWS	45,50	10	36	190	25	
28	-44,74 MLWS	45,75	10	36	200	25	
29	-44,99 MLWS	46,00	10	36	210	25	
30	-45,24 MLWS	46,25	10	36	220	25	
31	-45,49 MLWS	46,50	10	36	230	25	
32	-45,74 MLWS	46,75	10	36	240	25	
33	-45,99 MLWS	47,00	10	36	250	25	
34	-46,24 MLWS	47,25	10	36	260	25	
35	-46,49 MLWS	47,50	15	36	275	17	
36	-46,74 MLWS	47,75	15	36	290	17	
37	-46,99 MLWS	48,00	18	36	308	14	
38	-47,24 MLWS	48,25	18	36	326	14	
39	-47,49 MLWS	48,50	18	36	344	14	
40	-47,74 MLWS	48,75	18	36	362	14	
41	-47,99 MLWS	49,00	18	36	380	14	
42	-48,24 MLWS	49,25	18	36	398	14	
43	-48,49 MLWS	49,50	18	36	416	14	
