N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-37,61 MLWS	38,50					
2	-37,86 MLWS	38,75	4	36	4	63	
3	-38,11 MLWS	39,00	6	36	10	42	
4	-38,36 MLWS	39,25	6	36	16	42	
5	-38,61 MLWS	39,50	6	36	22	42	
6	-38,86 MLWS	39,75	6	36	28	42	
7	-39,11 MLWS	40,00	5	36	33	50	
8	-39,36 MLWS	40,25	5	36	38	50	
9	-39,61 MLWS	40,50	5	36	43	50	
10	-39,86 MLWS	40,75	5	36	48	50	
11	-40,11 MLWS	41,00	5	36	53	50	
12	-40,36 MLWS	41,25	5	36	58	50	
13	-40,61 MLWS	41,50	5	36	63	50	
14	-40,86 MLWS	41,75	5	36	68	50	
15	-41,11 MLWS	42,00	6	36	74	42	
16	-41,36 MLWS	42,25	6	36	80	42	
17	-41,61 MLWS	42,50	6	36	86	42	
18	-41,86 MLWS	42,75	6	36	92	42	
19	-42,11 MLWS	43,00	6	36	98	42	
20	-42,36 MLWS	43,25	6	36	104	42	
21	-42,61 MLWS	43,50	6	36	110	42	
22	-42,86 MLWS	43,75	6	36	116	42	
23	-43,11 MLWS	44,00	7	36	123	36	
24	-43,36 MLWS	44,25	7	36	130	36	
25	-43,61 MLWS	44,50	7	36	137	36	
26	-43,86 MLWS	44,75	8	36	145	31	
27	-44,11 MLWS	45,00	8	36	153	31	
28	-44,36 MLWS	45,25	8	36	161	31	
29	-44,61 MLWS	45,50	8	36	169	31	
30	-44,86 MLWS	45,75	9	36	178	28	
31	-45,11 MLWS	46,00	9	36	187	28	
32	-45,36 MLWS	46,25	9	36	196	28	
33	-45,61 MLWS	46,50	8	36	204	31	
34	-45,86 MLWS	46,75	12	36	216	21	
35	-46,11 MLWS	47,00	10	36	226	25	
36	-46,36 MLWS	47,25	11	36	237	23	
37	-46,61 MLWS	47,50	11	36	248	23	
38	-46,86 MLWS	47,75	11	36	259	23	
39	-47,11 MLWS	48,00	14	36	273	18	
40	-47,36 MLWS	48,25	13	36	286	19	
41	-47,61 MLWS	48,50	13	36	299	19	
42	-47,86 MLWS	48,75	13	36	312	19	
43	-48,11 MLWS	49,00	14	36	326	18	
44	-48,36 MLWS	49,25	14	36	340	18	
45	-48,61 MLWS	49,50	14	36	354	18	
46	-48,86 MLWS	49,75	16	36	370	16	
47	-49,11 MLWS	50,00	16	36	386	16	
48	-49,36 MLWS	50,25	16	36	402	16	
49	-49,61 MLWS	50,50	16	36	418	16	
50	-49,86 MLWS	50,75	16	36	434	16	
51	-50,11 MLWS	51,00	18	36	452	13,9	
52	-50,36 MLWS	51,25	20	36	472	12,5	
53	-50,61 MLWS	51,50	18	36	490	13,9	
54	-50,86 MLWS	51,75	20	36	510	12,5	
55	-51,11 MLWS	52,00	23	36	533	10,9	
56	-51,36 MLWS	52,25	22	36	555	11,4	
57	-51,61 MLWS	52,50	25	36	580	10,0	
58	-51,86 MLWS	52,75	26	36	606	9,6	
59	-52,11 MLWS	53,00	29	42	635	8,6	
60	-52,36 MLWS	53,25	27	42	662	9,3	
61	-52,61 MLWS	53,50	24	53	686	10,4	
62	-52,86 MLWS	53,75	24	53	710	10,4	
63	-53,11 MLWS	54,00	24	53	734	10,4	
64	-53,36 MLWS	54,25	24	53	758	10,4	
65	-53,61 MLWS	54,50	24	53	782	10,4	
66	-53,86 MLWS	54,75	24	53	806	10,4	
67	-54,11 MLWS	55,00	24	57	830	10,4	
68	-54,36 MLWS	55,25	24	57	854	10,4	
69	-54,61 MLWS	55,50	28	54	882	8,9	
70	-54,86 MLWS	55,75	28	57	910	8,9	
71	-55,11 MLWS	56,00	32	57	942	7,8	
72	-55,36 MLWS	56,25	26	62	968	9,6	
73	-55,61 MLWS	56,50	29	62	997	8,6	
74	-55,86 MLWS	56,75	27	62	1.024	9,3	
75	-56,11 MLWS	57,00	30	66	1.054	8,3	
76	-56,36 MLWS	57,25	30	66	1.084	8,3	
77	-56,61 MLWS	57,50	30	70	1.114	8,3	
78	-56,86 MLWS	57,75	27	75	1.141	9,3	
79	-57,11 MLWS	58,00	29	75	1.170	8,6	
80	-57,36 MLWS	58,25	23	75	1.193	10,9	
81	-57,61 MLWS	58,50	28	90	1.221	8,9	
82	-57,86 MLWS	58,75	28	85	1.249	8,9	
83	-58,11 MLWS	59,00	28	90	1.277	8,9	
84	-58,36 MLWS	59,25	26	90	1.303	9,6	
85	-58,61 MLWS	59,50	26	90	1.329	9,6	
86	-58,86 MLWS	59,75	27	100	1.356	9,3	
87	-59,11 MLWS	60,00	27	100	1.383	9,3	
88	-59,36 MLWS	60,25	27	100	1.410	9,3	
89	-59,61 MLWS	60,50	27	100	1.437	9,3	
90	-59,86 MLWS	60,75	27	100	1.464	9,3	
91	-60,11 MLWS	61,00	32	110	1.496	7,8	
92	-60,36 MLWS	61,25	25	110	1.521	10,0	
93	-60,61 MLWS	61,50	26	115	1.547	9,6	
94	-60,86 MLWS	61,75	30	115	1.577	8,3	
95	-61,11 MLWS	62,00	29	120	1.606	8,6	
96	-61,36 MLWS	62,25	29	130	1.635	8,6	
97	-61,61 MLWS	62,50	26	140	1.661	9,6	
98	-61,86 MLWS	62,75	24	135	1.685	10,4	
99	-62,11 MLWS	63,00	27	130	1.712	9,3	
100	-62,36 MLWS	63,25	28	135	1.740	8,9	
101	-62,61 MLWS	63,50	28	135	1.768	8,9	
102	-62,86 MLWS	63,75	26	145	1.794	9,6	
103	-63,11 MLWS	64,00	27	145	1.821	9,3	
104	-63,36 MLWS	64,25	27	145	1.848	9,3	
105	-63,61 MLWS	64,50	24	150	1.872	10,4	
106	-63,86 MLWS	64,75	26	160	1.898	9,6	
107	-64,11 MLWS	65,00	26	160	1.924	9,6	
108	-64,36 MLWS	65,25	26	160	1.950	9,6	
109	-64,61 MLWS	65,50	26	160	1.976	9,6	
110	-64,86 MLWS	65,75	24	160	2.000	10,4	
111	-65,11 MLWS	66,00	27	160	2.027	9,3	
112	-65,36 MLWS	66,25	24	170	2.051	10,4	
113	-65,61 MLWS	66,50	28	170	2.079	8,9	
114	-65,86 MLWS	66,75	26	170	2.105	9,6	
115	-66,11 MLWS	67,00	27	170	2.132	9,3	
116	-66,36 MLWS	67,25	26	180	2.158	9,6	
117	-66,61 MLWS	67,50	25	180	2.183	10,0	
118	-66,86 MLWS	67,75	27	180	2.210	9,3	
119	-67,11 MLWS	68,00	27	180	2.237	9,3	
120	-67,36 MLWS	68,25	27	180	2.264	9,3	
121	-67,61 MLWS	68,50	27	185	2.291	9,3	
122	-67,86 MLWS	68,75	25	195	2.316	10,0	
123	-68,11 MLWS	69,00	25	195	2.341	10,0	
124	-68,36 MLWS	69,25	28	195	2.369	8,9	
125	-68,61 MLWS	69,50	27	195	2.396	9,3	
126	-68,86 MLWS	69,75	26	195	2.422	9,6	
127	-69,11 MLWS	70,00	26	195	2.448	9,6	
128	-69,36 MLWS	70,25	27	195	2.475	9,3	
129	-69,61 MLWS	70,50	27	205	2.502	9,3	
130	-69,86 MLWS	70,75	28	205	2.530	8,9	
131	-70,11 MLWS	71,00	29	210	2.559	8,6	
132	-70,36 MLWS	71,25	28	210	2.587	8,9	
133	-70,61 MLWS	71,50	28	220	2.615	8,9	
134	-70,86 MLWS	71,75	27	215	2.642	9,3	
135	-71,11 MLWS	72,00	28	215	2.670	8,9	
136	-71,36 MLWS	72,25	29	215	2.699	8,6	
137	-71,61 MLWS	72,50	28	225	2.727	8,9	
138	-71,86 MLWS	72,75	28	230	2.755	8,9	
139	-72,11 MLWS	73,00	28	230	2.783	8,9	
140	-72,36 MLWS	73,25	24	230	2.807	10,4	
141	-72,61 MLWS	73,50	26	230	2.833	9,6	
142	-72,86 MLWS	73,75	26	235	2.859	9,6	
143	-73,11 MLWS	74,00	26	235	2.885	9,6	
144	-73,36 MLWS	74,25	26	235	2.911	9,6	
145	-73,61 MLWS	74,50	26	235	2.937	9,6	
146	-73,86 MLWS	74,75	27	240	2.964	9,3	
147	-74,11 MLWS	75,00	24	240	2.988	10,4	
148	-74,36 MLWS	75,25	24	230	3.012	10,4	
149	-74,61 MLWS	75,50	24	230	3.036	10,4	
150	-74,86 MLWS	75,75	25	240	3.061	10,0	
151	-75,11 MLWS	76,00	27	230	3.088	9,3	
152	-75,36 MLWS	76,25	28	240	3.116	8,9	
153	-75,61 MLWS	76,50	26	240	3.142	9,6	
154	-75,86 MLWS	76,75	28	240	3.170	8,9	
155	-76,11 MLWS	77,00	28	240	3.198	8,9	
156	-76,36 MLWS	77,25	28	245	3.226	8,9	
157	-76,61 MLWS	77,50	28	250	3.254	8,9	
