N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-38,01 MLWS	39,00					
2	-38,26 MLWS	39,25	5	36	5	50	
3	-38,51 MLWS	39,50	5	36	10	50	
4	-38,76 MLWS	39,75	5	36	15	50	
5	-39,01 MLWS	40,00	5	36	20	50	
6	-39,26 MLWS	40,25	5	36	25	50	
7	-39,51 MLWS	40,50	5	36	30	50	
8	-39,76 MLWS	40,75	6	36	36	42	
9	-40,01 MLWS	41,00	7	36	43	36	
10	-40,26 MLWS	41,25	6	36	49	42	
11	-40,51 MLWS	41,50	6	36	55	42	
12	-40,76 MLWS	41,75	6	36	61	42	
13	-41,01 MLWS	42,00	6	36	67	42	
14	-41,26 MLWS	42,25	5	36	72	50	
15	-41,51 MLWS	42,50	5	36	77	50	
16	-41,76 MLWS	42,75	5	36	82	50	
17	-42,01 MLWS	43,00	6	36	88	42	
18	-42,26 MLWS	43,25	7	36	95	36	
19	-42,51 MLWS	43,50	7	36	102	36	
20	-42,76 MLWS	43,75	7	36	109	36	
21	-43,01 MLWS	44,00	8	36	117	31	
22	-43,26 MLWS	44,25	8	36	125	31	
23	-43,51 MLWS	44,50	8	36	133	31	
24	-43,76 MLWS	44,75	8	36	141	31	
25	-44,01 MLWS	45,00	8	36	149	31	
26	-44,26 MLWS	45,25	8	36	157	31	
27	-44,51 MLWS	45,50	10	36	167	25	
28	-44,76 MLWS	45,75	9	36	176	28	
29	-45,01 MLWS	46,00	9	36	185	28	
30	-45,26 MLWS	46,25	9	36	194	28	
31	-45,51 MLWS	46,50	10	36	204	25	
32	-45,76 MLWS	46,75	10	36	214	25	
33	-46,01 MLWS	47,00	12	36	226	21	
34	-46,26 MLWS	47,25	12	36	238	21	
35	-46,51 MLWS	47,50	12	36	250	21	
36	-46,76 MLWS	47,75	13	36	263	19	
37	-47,01 MLWS	48,00	13	36	276	19	
38	-47,26 MLWS	48,25	13	36	289	19	
39	-47,51 MLWS	48,50	15	36	304	17	
40	-47,76 MLWS	48,75	15	36	319	17	
41	-48,01 MLWS	49,00	15	36	334	17	
42	-48,26 MLWS	49,25	14	36	348	18	
43	-48,51 MLWS	49,50	14	36	362	18	
44	-48,76 MLWS	49,75	15	36	377	17	
45	-49,01 MLWS	50,00	16	36	393	16	
