N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-37,68 MLWS	38,50					
2	-37,93 MLWS	38,75	6	36	6	42	
3	-38,18 MLWS	39,00	6	36	12	42	
4	-38,43 MLWS	39,25	6	36	18	42	
5	-38,68 MLWS	39,50	6	36	24	42	
6	-38,93 MLWS	39,75	6	36	30	42	
7	-39,18 MLWS	40,00	6	36	36	42	
8	-39,43 MLWS	40,25	6	36	42	42	
9	-39,68 MLWS	40,50	6	36	48	42	
10	-39,93 MLWS	40,75	6	36	54	42	
11	-40,18 MLWS	41,00	6	36	60	42	
12	-40,43 MLWS	41,25	6	36	66	42	
13	-40,68 MLWS	41,50	6	36	72	42	
14	-40,93 MLWS	41,75	6	36	78	42	
15	-41,18 MLWS	42,00	6	36	84	42	
16	-41,43 MLWS	42,25	6	36	90	42	
17	-41,68 MLWS	42,50	6	36	96	42	
18	-41,93 MLWS	42,75	6	36	102	42	
19	-42,18 MLWS	43,00	6	36	108	42	
20	-42,43 MLWS	43,25	6	36	114	42	
21	-42,68 MLWS	43,50	6	36	120	42	
22	-42,93 MLWS	43,75	6	36	126	42	
23	-43,18 MLWS	44,00	6	36	132	42	
24	-43,43 MLWS	44,25	9	36	141	28	
25	-43,68 MLWS	44,50	9	36	150	28	
26	-43,93 MLWS	44,75	9	36	159	28	
27	-44,18 MLWS	45,00	9	36	168	28	
28	-44,43 MLWS	45,25	9	36	177	28	
29	-44,68 MLWS	45,50	9	36	186	28	
30	-44,93 MLWS	45,75	9	36	195	28	
31	-45,18 MLWS	46,00	9	36	204	28	
32	-45,43 MLWS	46,25	9	36	213	28	
33	-45,68 MLWS	46,50	9	36	222	28	
34	-45,93 MLWS	46,75	9	36	231	28	
35	-46,18 MLWS	47,00	9	36	240	28	
36	-46,43 MLWS	47,25	9	36	249	28	
37	-46,68 MLWS	47,50	9	36	258	28	
38	-46,93 MLWS	47,75	11	36	269	23	
39	-47,18 MLWS	48,00	12	36	281	21	
40	-47,43 MLWS	48,25	12	36	293	21	
41	-47,68 MLWS	48,50	12	36	305	21	
42	-47,93 MLWS	48,75	12	36	317	21	
43	-48,18 MLWS	49,00	15	36	332	17	
44	-48,43 MLWS	49,25	15	36	347	17	
45	-48,68 MLWS	49,50	19	36	366	13	
46	-48,93 MLWS	49,75	19	36	385	13	
47	-49,18 MLWS	50,00	19	36	404	13	
48	-49,43 MLWS	50,25	19	36	423	13	
49	-49,68 MLWS	50,50	19	36	442	13	
50	-49,93 MLWS	50,75	19	36	461	13	
51	-50,18 MLWS	51,00	19	36	480	13,2	
52	-50,43 MLWS	51,25	22	36	502	11,4	
53	-50,68 MLWS	51,50	22	36	524	11,4	
54	-50,93 MLWS	51,75	22	36	546	11,4	
55	-51,18 MLWS	52,00	22	36	568	11,4	
56	-51,43 MLWS	52,25	22	36	590	11,4	
57	-51,68 MLWS	52,50	22	36	612	11,4	
58	-51,93 MLWS	52,75	22	40	634	11,4	
59	-52,18 MLWS	53,00	22	40	656	11,4	
60	-52,43 MLWS	53,25	22	40	678	11,4	
61	-52,68 MLWS	53,50	22	40	700	11,4	
62	-52,93 MLWS	53,75	22	40	722	11,4	
63	-53,18 MLWS	54,00	22	40	744	11,4	
64	-53,43 MLWS	54,25	24	40	768	10,4	
65	-53,68 MLWS	54,50	24	40	792	10,4	
66	-53,93 MLWS	54,75	24	40	816	10,4	
67	-54,18 MLWS	55,00	24	50	840	10,4	
68	-54,43 MLWS	55,25	24	50	864	10,4	
69	-54,68 MLWS	55,50	24	50	888	10,4	
70	-54,93 MLWS	55,75	24	50	912	10,4	
71	-55,18 MLWS	56,00	24	50	936	10,4	
72	-55,43 MLWS	56,25	24	50	960	10,4	
73	-55,68 MLWS	56,50	24	50	984	10,4	
74	-55,93 MLWS	56,75	24	60	1.008	10,4	
75	-56,18 MLWS	57,00	24	60	1.032	10,4	
76	-56,43 MLWS	57,25	24	60	1.056	10,4	
77	-56,68 MLWS	57,50	24	60	1.080	10,4	
78	-56,93 MLWS	57,75	24	70	1.104	10,4	
79	-57,18 MLWS	58,00	24	70	1.128	10,4	
80	-57,43 MLWS	58,25	26	70	1.154	9,6	
81	-57,68 MLWS	58,50	26	75	1.180	9,6	
82	-57,93 MLWS	58,75	26	75	1.206	9,6	
