N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-38,62 MLWS	39,75					
2	-38,87 MLWS	40,00	3	36	3	83	
3	-39,12 MLWS	40,25	3	36	6	83	
4	-39,37 MLWS	40,50	3	36	9	83	
5	-39,62 MLWS	40,75	3	36	12	83	
6	-39,87 MLWS	41,00	4	36	16	63	
7	-40,12 MLWS	41,25	4	36	20	63	
8	-40,37 MLWS	41,50	5	36	25	50	
9	-40,62 MLWS	41,75	5	36	30	50	
10	-40,87 MLWS	42,00	5	36	35	50	
11	-41,12 MLWS	42,25	5	36	40	50	
12	-41,37 MLWS	42,50	5	36	45	50	
13	-41,62 MLWS	42,75	5	36	50	50	
14	-41,87 MLWS	43,00	5	36	55	50	
15	-42,12 MLWS	43,25	5	36	60	50	
16	-42,37 MLWS	43,50	5	36	65	50	
17	-42,62 MLWS	43,75	7	36	72	36	
18	-42,87 MLWS	44,00	7	36	79	36	
19	-43,12 MLWS	44,25	6	36	85	42	
20	-43,37 MLWS	44,50	6	36	91	42	
21	-43,62 MLWS	44,75	6	36	97	42	
22	-43,87 MLWS	45,00	6	36	103	42	
23	-44,12 MLWS	45,25	7	36	110	36	
24	-44,37 MLWS	45,50	7	36	117	36	
25	-44,62 MLWS	45,75	7	36	124	36	
26	-44,87 MLWS	46,00	9	36	133	28	
27	-45,12 MLWS	46,25	8	36	141	31	
28	-45,37 MLWS	46,50	8	36	149	31	
29	-45,62 MLWS	46,75	8	36	157	31	
30	-45,87 MLWS	47,00	10	36	167	25	
31	-46,12 MLWS	47,25	10	36	177	25	
32	-46,37 MLWS	47,50	10	36	187	25	
33	-46,62 MLWS	47,75	10	36	197	25	
34	-46,87 MLWS	48,00	12	36	209	21	
35	-47,12 MLWS	48,25	13	36	222	19	
36	-47,37 MLWS	48,50	14	36	236	18	
37	-47,62 MLWS	48,75	16	36	252	16	
38	-47,87 MLWS	49,00	16	36	268	16	
39	-48,12 MLWS	49,25	16	36	284	16	
40	-48,37 MLWS	49,50	16	36	300	16	
41	-48,62 MLWS	49,75	16	36	316	16	
42	-48,87 MLWS	50,00	16	36	332	16	
43	-49,12 MLWS	50,25	17	36	349	15	
44	-49,37 MLWS	50,50	18	36	367	14	
45	-49,62 MLWS	50,75	18	36	385	14	
46	-49,87 MLWS	51,00	18	36	403	14	
47	-50,12 MLWS	51,25	18	36	421	14	
48	-50,37 MLWS	51,50	18	36	439	14	
49	-50,62 MLWS	51,75	20	36	459	13	
50	-50,87 MLWS	52,00	19	36	478	13	
51	-51,12 MLWS	52,25	21	36	499	11,9	
52	-51,37 MLWS	52,50	21	36	520	11,9	
53	-51,62 MLWS	52,75	21	36	541	11,9	
54	-51,87 MLWS	53,00	21	36	562	11,9	
55	-52,12 MLWS	53,25	24	40	586	10,4	
56	-52,37 MLWS	53,50	26	40	612	9,6	
57	-52,62 MLWS	53,75	26	40	638	9,6	
58	-52,87 MLWS	54,00	27	40	665	9,3	
59	-53,12 MLWS	54,25	29	40	694	8,6	
60	-53,37 MLWS	54,50	26	45	720	9,6	
61	-53,62 MLWS	54,75	26	49	746	9,6	
62	-53,87 MLWS	55,00	24	49	770	10,4	
63	-54,12 MLWS	55,25	28	49	798	8,9	
64	-54,37 MLWS	55,50	26	49	824	9,6	
