N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-37,47 MLWS	38,50					
2	-37,72 MLWS	38,75	8	36	8	31	
3	-37,97 MLWS	39,00	8	36	16	31	
4	-38,22 MLWS	39,25	8	36	24	31	
5	-38,47 MLWS	39,50	8	36	32	31	
6	-38,72 MLWS	39,75	8	36	40	31	
7	-38,97 MLWS	40,00	8	36	48	31	
8	-39,22 MLWS	40,25	8	36	56	31	
9	-39,47 MLWS	40,50	8	36	64	31	
10	-39,72 MLWS	40,75	8	36	72	31	
11	-39,97 MLWS	41,00	7	36	79	36	
12	-40,22 MLWS	41,25	7	36	86	36	
13	-40,47 MLWS	41,50	6	36	92	42	
14	-40,72 MLWS	41,75	6	36	98	42	
15	-40,97 MLWS	42,00	6	36	104	42	
16	-41,22 MLWS	42,25	6	36	110	42	
17	-41,47 MLWS	42,50	7	36	117	36	
18	-41,72 MLWS	42,75	7	36	124	36	
19	-41,97 MLWS	43,00	7	36	131	36	
20	-42,22 MLWS	43,25	7	36	138	36	
21	-42,47 MLWS	43,50	7	36	145	36	
22	-42,72 MLWS	43,75	8	36	153	31	
23	-42,97 MLWS	44,00	8	36	161	31	
24	-43,22 MLWS	44,25	8	36	169	31	
25	-43,47 MLWS	44,50	8	36	177	31	
26	-43,72 MLWS	44,75	8	36	185	31	
27	-43,97 MLWS	45,00	9	36	194	28	
28	-44,22 MLWS	45,25	10	36	204	25	
29	-44,47 MLWS	45,50	10	36	214	25	
30	-44,72 MLWS	45,75	10	36	224	25	
31	-44,97 MLWS	46,00	10	36	234	25	
32	-45,22 MLWS	46,25	10	36	244	25	
33	-45,47 MLWS	46,50	10	36	254	25	
34	-45,72 MLWS	46,75	10	36	264	25	
35	-45,97 MLWS	47,00	10	36	274	25	
36	-46,22 MLWS	47,25	10	36	284	25	
37	-46,47 MLWS	47,50	12	36	296	21	
38	-46,72 MLWS	47,75	12	36	308	21	
39	-46,97 MLWS	48,00	14	36	322	18	
40	-47,22 MLWS	48,25	14	36	336	18	
41	-47,47 MLWS	48,50	12	36	348	21	
42	-47,72 MLWS	48,75	12	36	360	21	
43	-47,97 MLWS	49,00	12	36	372	21	
44	-48,22 MLWS	49,25	14	36	386	18	
45	-48,47 MLWS	49,50	14	36	400	18	
46	-48,72 MLWS	49,75	14	36	414	18	
47	-48,97 MLWS	50,00	14	36	428	18	
48	-49,22 MLWS	50,25	14	36	442	18	
49	-49,47 MLWS	50,50	18	36	460	14	
50	-49,72 MLWS	50,75	18	36	478	14	
51	-49,97 MLWS	51,00	18	36	496	13,9	
52	-50,22 MLWS	51,25	18	36	514	13,9	
53	-50,47 MLWS	51,50	18	36	532	13,9	
54	-50,72 MLWS	51,75	20	36	552	12,5	
55	-50,97 MLWS	52,00	18	36	570	13,9	
56	-51,22 MLWS	52,25	18	36	588	13,9	
57	-51,47 MLWS	52,50	18	36	606	13,9	
58	-51,72 MLWS	52,75	18	36	624	13,9	
59	-51,97 MLWS	53,00	18	36	642	13,9	
60	-52,22 MLWS	53,25	26	36	668	9,6	
61	-52,47 MLWS	53,50	24	36	692	10,4	
62	-52,72 MLWS	53,75	29	36	721	8,6	
63	-52,97 MLWS	54,00	24	36	745	10,4	
64	-53,22 MLWS	54,25	28	36	773	8,9	
65	-53,47 MLWS	54,50	26	40	799	9,6	
66	-53,72 MLWS	54,75	26	40	825	9,6	
67	-53,97 MLWS	55,00	26	40	851	9,6	
68	-54,22 MLWS	55,25	26	40	877	9,6	
69	-54,47 MLWS	55,50	26	50	903	9,6	
70	-54,72 MLWS	55,75	28	50	931	8,9	
71	-54,97 MLWS	56,00	26	50	957	9,6	
72	-55,22 MLWS	56,25	26	50	983	9,6	
73	-55,47 MLWS	56,50	28	50	1.011	8,9	
74	-55,72 MLWS	56,75	26	50	1.037	9,6	
75	-55,97 MLWS	57,00	26	50	1.063	9,6	
76	-56,22 MLWS	57,25	28	60	1.091	8,9	
77	-56,47 MLWS	57,50	28	60	1.119	8,9	
78	-56,72 MLWS	57,75	28	60	1.147	8,9	
79	-56,97 MLWS	58,00	28	70	1.175	8,9	
80	-57,22 MLWS	58,25	28	70	1.203	8,9	
81	-57,47 MLWS	58,50	30	75	1.233	8,3	
82	-57,72 MLWS	58,75	22	75	1.255	11,4	
83	-57,97 MLWS	59,00	26	80	1.281	9,6	
84	-58,22 MLWS	59,25	28	80	1.309	8,9	
85	-58,47 MLWS	59,50	28	80	1.337	8,9	
86	-58,72 MLWS	59,75	28	80	1.365	8,9	
87	-58,97 MLWS	60,00	26	80	1.391	9,6	
88	-59,22 MLWS	60,25	25	80	1.416	10,0	
89	-59,47 MLWS	60,50	28	80	1.444	8,9	
90	-59,72 MLWS	60,75	30	80	1.474	8,3	
91	-59,97 MLWS	61,00	30	100	1.504	8,3	
92	-60,22 MLWS	61,25	28	100	1.532	8,9	
93	-60,47 MLWS	61,50	28	100	1.560	8,9	
94	-60,72 MLWS	61,75	28	110	1.588	8,9	
95	-60,97 MLWS	62,00	30	110	1.618	8,3	
96	-61,22 MLWS	62,25	30	110	1.648	8,3	
97	-61,47 MLWS	62,50	28	110	1.676	8,9	
98	-61,72 MLWS	62,75	28	110	1.704	8,9	
99	-61,97 MLWS	63,00	28	120	1.732	8,9	
100	-62,22 MLWS	63,25	26	120	1.758	9,6	
101	-62,47 MLWS	63,50	28	120	1.786	8,9	
