N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-38,34 MLWS	39,25					
2	-38,59 MLWS	39,50	5	36	5	50	
3	-38,84 MLWS	39,75	5	36	10	50	
4	-39,09 MLWS	40,00	5	36	15	50	
5	-39,34 MLWS	40,25	5	36	20	50	
6	-39,59 MLWS	40,50	5	36	25	50	
7	-39,84 MLWS	40,75	5	36	30	50	
8	-40,09 MLWS	41,00	5	36	35	50	
9	-40,34 MLWS	41,25	5	36	40	50	
10	-40,59 MLWS	41,50	5	36	45	50	
11	-40,84 MLWS	41,75	5	36	50	50	
12	-41,09 MLWS	42,00	5	36	55	50	
13	-41,34 MLWS	42,25	5	36	60	50	
14	-41,59 MLWS	42,50	5	36	65	50	
15	-41,84 MLWS	42,75	5	36	70	50	
16	-42,09 MLWS	43,00	5	36	75	50	
17	-42,34 MLWS	43,25	5	36	80	50	
18	-42,59 MLWS	43,50	6	36	86	42	
19	-42,84 MLWS	43,75	6	36	92	42	
20	-43,09 MLWS	44,00	6	36	98	42	
21	-43,34 MLWS	44,25	6	36	104	42	
22	-43,59 MLWS	44,50	6	36	110	42	
23	-43,84 MLWS	44,75	6	36	116	42	
24	-44,09 MLWS	45,00	7	36	123	36	
25	-44,34 MLWS	45,25	7	36	130	36	
26	-44,59 MLWS	45,50	7	36	137	36	
27	-44,84 MLWS	45,75	9	36	146	28	
28	-45,09 MLWS	46,00	9	36	155	28	
29	-45,34 MLWS	46,25	12	36	167	21	
30	-45,59 MLWS	46,50	12	36	179	21	
31	-45,84 MLWS	46,75	12	36	191	21	
32	-46,09 MLWS	47,00	12	36	203	21	
33	-46,34 MLWS	47,25	12	36	215	21	
34	-46,59 MLWS	47,50	13	36	228	19	
35	-46,84 MLWS	47,75	15	36	243	17	
36	-47,09 MLWS	48,00	15	36	258	17	
37	-47,34 MLWS	48,25	15	36	273	17	
38	-47,59 MLWS	48,50	15	36	288	17	
39	-47,84 MLWS	48,75	15	36	303	17	
40	-48,09 MLWS	49,00	15	36	318	17	
41	-48,34 MLWS	49,25	17	36	335	15	
42	-48,59 MLWS	49,50	17	36	352	15	
43	-48,84 MLWS	49,75	17	36	369	15	
44	-49,09 MLWS	50,00	17	36	386	15	
45	-49,34 MLWS	50,25	17	36	403	15	
46	-49,59 MLWS	50,50	17	36	420	15	
47	-49,84 MLWS	50,75	17	36	437	15	
48	-50,09 MLWS	51,00	17	36	454	15	
49	-50,34 MLWS	51,25	17	36	471	15	
50	-50,59 MLWS	51,50	17	41	488	15	
51	-50,84 MLWS	51,75	22	41	510	11,4	
52	-51,09 MLWS	52,00	22	55	532	11,4	
53	-51,34 MLWS	52,25	22	55	554	11,4	
54	-51,59 MLWS	52,50	22	55	576	11,4	
55	-51,84 MLWS	52,75	22	55	598	11,4	
56	-52,09 MLWS	53,00	22	55	620	11,4	
57	-52,34 MLWS	53,25	22	55	642	11,4	
58	-52,59 MLWS	53,50	22	55	664	11,4	
59	-52,84 MLWS	53,75	22	55	686	11,4	
60	-53,09 MLWS	54,00	22	55	708	11,4	
61	-53,34 MLWS	54,25	26	55	734	9,6	
62	-53,59 MLWS	54,50	26	55	760	9,6	
63	-53,84 MLWS	54,75	28	55	788	8,9	
64	-54,09 MLWS	55,00	28	55	816	8,9	
65	-54,34 MLWS	55,25	28	55	844	8,9	
66	-54,59 MLWS	55,50	28	55	872	8,9	
67	-54,84 MLWS	55,75	28	55	900	8,9	
68	-55,09 MLWS	56,00	28	65	928	8,9	
69	-55,34 MLWS	56,25	28	65	956	8,9	
70	-55,59 MLWS	56,50	25	70	981	10,0	
71	-55,84 MLWS	56,75	25	70	1.006	10,0	
72	-56,09 MLWS	57,00	25	75	1.031	10,0	
73	-56,34 MLWS	57,25	25	80	1.056	10,0	
74	-56,59 MLWS	57,50	27	90	1.083	9,3	
75	-56,84 MLWS	57,75	27	90	1.110	9,3	
76	-57,09 MLWS	58,00	27	90	1.137	9,3	
