N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-34,66 MLWS	36,00					
2	-34,91 MLWS	36,25	7	36	7	36	
3	-35,16 MLWS	36,50	7	36	14	36	
4	-35,41 MLWS	36,75	7	36	21	36	
5	-35,66 MLWS	37,00	7	36	28	36	
6	-35,91 MLWS	37,25	7	36	35	36	
7	-36,16 MLWS	37,50	5	36	40	50	
8	-36,41 MLWS	37,75	5	36	45	50	
9	-36,66 MLWS	38,00	5	36	50	50	
10	-36,91 MLWS	38,25	5	36	55	50	
11	-37,16 MLWS	38,50	5	36	60	50	
12	-37,41 MLWS	38,75	5	36	65	50	
13	-37,66 MLWS	39,00	5	36	70	50	
14	-37,91 MLWS	39,25	5	36	75	50	
15	-38,16 MLWS	39,50	5	36	80	50	
16	-38,41 MLWS	39,75	5	36	85	50	
17	-38,66 MLWS	40,00	5	36	90	50	
18	-38,91 MLWS	40,25	4	36	94	63	
19	-39,16 MLWS	40,50	4	36	98	63	
20	-39,41 MLWS	40,75	6	36	104	42	
21	-39,66 MLWS	41,00	6	36	110	42	
22	-39,91 MLWS	41,25	7	36	117	36	
23	-40,16 MLWS	41,50	7	36	124	36	
24	-40,41 MLWS	41,75	6	36	130	42	
25	-40,66 MLWS	42,00	7	36	137	36	
26	-40,91 MLWS	42,25	6	36	143	42	
27	-41,16 MLWS	42,50	7	36	150	36	
28	-41,41 MLWS	42,75	8	36	158	31	
29	-41,66 MLWS	43,00	7	36	165	36	
30	-41,91 MLWS	43,25	7	36	172	36	
31	-42,16 MLWS	43,50	7	36	179	36	
32	-42,41 MLWS	43,75	7	36	186	36	
33	-42,66 MLWS	44,00	6	36	192	42	
34	-42,91 MLWS	44,25	9	36	201	28	
35	-43,16 MLWS	44,50	9	36	210	28	
36	-43,41 MLWS	44,75	9	36	219	28	
37	-43,66 MLWS	45,00	9	36	228	28	
38	-43,91 MLWS	45,25	9	36	237	28	
39	-44,16 MLWS	45,50	11	36	248	23	
40	-44,41 MLWS	45,75	11	36	259	23	
41	-44,66 MLWS	46,00	8	36	267	31	
42	-44,91 MLWS	46,25	10	36	277	25	
43	-45,16 MLWS	46,50	12	36	289	21	
44	-45,41 MLWS	46,75	12	36	301	21	
45	-45,66 MLWS	47,00	12	36	313	21	
46	-45,91 MLWS	47,25	13	36	326	19	
47	-46,16 MLWS	47,50	13	36	339	19	
48	-46,41 MLWS	47,75	16	36	355	16	
49	-46,66 MLWS	48,00	17	36	372	15	
50	-46,91 MLWS	48,25	16	36	388	16	
51	-47,16 MLWS	48,50	16	36	404	15,6	
52	-47,41 MLWS	48,75	16	36	420	15,6	
53	-47,66 MLWS	49,00	18	36	438	13,9	
54	-47,91 MLWS	49,25	17	36	455	14,7	
55	-48,16 MLWS	49,50	18	36	473	13,9	
56	-48,41 MLWS	49,75	19	36	492	13,2	
57	-48,66 MLWS	50,00	19	36	511	13,2	
58	-48,91 MLWS	50,25	19	36	530	13,2	
59	-49,16 MLWS	50,50	19	36	549	13,2	
60	-49,41 MLWS	50,75	19	36	568	13,2	
61	-49,66 MLWS	51,00	19	36	587	13,2	
62	-49,91 MLWS	51,25	25	36	612	10,0	
63	-50,16 MLWS	51,50	23	36	635	10,9	
64	-50,41 MLWS	51,75	23	36	658	10,9	
65	-50,66 MLWS	52,00	23	36	681	10,9	
66	-50,91 MLWS	52,25	23	36	704	10,9	
67	-51,16 MLWS	52,50	28	36	732	8,9	
68	-51,41 MLWS	52,75	27	36	759	9,3	
69	-51,66 MLWS	53,00	28	36	787	8,9	
70	-51,91 MLWS	53,25	22	36	809	11,4	
71	-52,16 MLWS	53,50	25	36	834	10,0	
72	-52,41 MLWS	53,75	22	50	856	11,4	
73	-52,66 MLWS	54,00	23	50	879	10,9	
74	-52,91 MLWS	54,25	20	50	899	12,5	
75	-53,16 MLWS	54,50	25	50	924	10,0	
76	-53,41 MLWS	54,75	21	50	945	11,9	
77	-53,66 MLWS	55,00	21	50	966	11,9	
78	-53,91 MLWS	55,25	21	55	987	11,9	
79	-54,16 MLWS	55,50	22	55	1.009	11,4	
