N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-37,92 MLWS	39,25					
2	-38,17 MLWS	39,50	12	36	12	21	
3	-38,42 MLWS	39,75	12	36	24	21	
4	-38,67 MLWS	40,00	12	36	36	21	
5	-38,92 MLWS	40,25	12	36	48	21	
6	-39,17 MLWS	40,50	9	36	57	28	
7	-39,42 MLWS	40,75	10	36	67	25	
8	-39,67 MLWS	41,00	10	36	77	25	
9	-39,92 MLWS	41,25	9	36	86	28	
10	-40,17 MLWS	41,50	10	36	96	25	
11	-40,42 MLWS	41,75	10	36	106	25	
12	-40,67 MLWS	42,00	10	36	116	25	
13	-40,92 MLWS	42,25	9	36	125	28	
14	-41,17 MLWS	42,50	9	36	134	28	
15	-41,42 MLWS	42,75	10	36	144	25	
16	-41,67 MLWS	43,00	10	36	154	25	
17	-41,92 MLWS	43,25	10	36	164	25	
18	-42,17 MLWS	43,50	10	36	174	25	
19	-42,42 MLWS	43,75	11	36	185	23	
20	-42,67 MLWS	44,00	11	36	196	23	
21	-42,92 MLWS	44,25	11	36	207	23	
22	-43,17 MLWS	44,50	11	36	218	23	
23	-43,42 MLWS	44,75	12	36	230	21	
24	-43,67 MLWS	45,00	12	36	242	21	
25	-43,92 MLWS	45,25	13	36	255	19	
26	-44,17 MLWS	45,50	13	36	268	19	
27	-44,42 MLWS	45,75	13	36	281	19	
28	-44,67 MLWS	46,00	13	36	294	19	
29	-44,92 MLWS	46,25	15	36	309	17	
30	-45,17 MLWS	46,50	15	36	324	17	
31	-45,42 MLWS	46,75	15	36	339	17	
32	-45,67 MLWS	47,00	17	36	356	15	
33	-45,92 MLWS	47,25	17	36	373	15	
34	-46,17 MLWS	47,50	17	36	390	15	
35	-46,42 MLWS	47,75	18	36	408	14	
36	-46,67 MLWS	48,00	18	36	426	14	
37	-46,92 MLWS	48,25	18	36	444	14	
38	-47,17 MLWS	48,50	18	36	462	14	
39	-47,42 MLWS	48,75	19	36	481	13	
40	-47,67 MLWS	49,00	19	36	500	13	
41	-47,92 MLWS	49,25	19	36	519	13	
42	-48,17 MLWS	49,50	19	36	538	13	
43	-48,42 MLWS	49,75	20	36	558	13	
44	-48,67 MLWS	50,00	20	36	578	13	
45	-48,92 MLWS	50,25	20	36	598	13	
46	-49,17 MLWS	50,50	20	36	618	13	
47	-49,42 MLWS	50,75	20	36	638	13	
48	-49,67 MLWS	51,00	20	36	658	13	
49	-49,92 MLWS	51,25	20	36	678	13	
50	-50,17 MLWS	51,50	20	36	698	13	
51	-50,42 MLWS	51,75	22	36	720	11,4	
52	-50,67 MLWS	52,00	22	36	742	11,4	
53	-50,92 MLWS	52,25	22	36	764	11,4	
54	-51,17 MLWS	52,50	22	36	786	11,4	
55	-51,42 MLWS	52,75	22	36	808	11,4	
56	-51,67 MLWS	53,00	24	36	832	10,4	
57	-51,92 MLWS	53,25	24	40	856	10,4	
58	-52,17 MLWS	53,50	24	40	880	10,4	
59	-52,42 MLWS	53,75	25	50	905	10,0	
60	-52,67 MLWS	54,00	25	50	930	10,0	
61	-52,92 MLWS	54,25	25	50	955	10,0	
62	-53,17 MLWS	54,50	28	50	983	8,9	
63	-53,42 MLWS	54,75	28	50	1.011	8,9	
64	-53,67 MLWS	55,00	28	50	1.039	8,9	
65	-53,92 MLWS	55,25	28	70	1.067	8,9	
66	-54,17 MLWS	55,50	27	70	1.094	9,3	
67	-54,42 MLWS	55,75	24	70	1.118	10,4	
68	-54,67 MLWS	56,00	24	70	1.142	10,4	
69	-54,92 MLWS	56,25	22	70	1.164	11,4	
70	-55,17 MLWS	56,50	22	72	1.186	11,4	
71	-55,42 MLWS	56,75	22	72	1.208	11,4	
72	-55,67 MLWS	57,00	23	80	1.231	10,9	
73	-55,92 MLWS	57,25	23	80	1.254	10,9	
74	-56,17 MLWS	57,50	24	80	1.278	10,4	
75	-56,42 MLWS	57,75	23	80	1.301	10,9	
76	-56,67 MLWS	58,00	23	80	1.324	10,9	
77	-56,92 MLWS	58,25	23	80	1.347	10,9	
78	-57,17 MLWS	58,50	23	80	1.370	10,9	
79	-57,42 MLWS	58,75	24	90	1.394	10,4	
