N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-36,32 MLWS	37,50					
2	-36,57 MLWS	37,75	3	36	3	83	
3	-36,82 MLWS	38,00	7	36	10	36	
4	-37,07 MLWS	38,25	6	36	16	42	
5	-37,32 MLWS	38,50	5	36	21	50	
6	-37,57 MLWS	38,75	5	36	26	50	
7	-37,82 MLWS	39,00	5	36	31	50	
8	-38,07 MLWS	39,25	5	36	36	50	
9	-38,32 MLWS	39,50	5	36	41	50	
10	-38,57 MLWS	39,75	14	36	55	18	
11	-38,82 MLWS	40,00	14	36	69	18	
12	-39,07 MLWS	40,25	14	36	83	18	
13	-39,32 MLWS	40,50	10	36	93	25	
14	-39,57 MLWS	40,75	10	36	103	25	
15	-39,82 MLWS	41,00	12	36	115	21	
16	-40,07 MLWS	41,25	12	36	127	21	
17	-40,32 MLWS	41,50	12	36	139	21	
18	-40,57 MLWS	41,75	12	36	151	21	
19	-40,82 MLWS	42,00	10	36	161	25	
20	-41,07 MLWS	42,25	10	36	171	25	
21	-41,32 MLWS	42,50	10	36	181	25	
22	-41,57 MLWS	42,75	10	36	191	25	
23	-41,82 MLWS	43,00	10	36	201	25	
24	-42,07 MLWS	43,25	10	36	211	25	
25	-42,32 MLWS	43,50	10	36	221	25	
26	-42,57 MLWS	43,75	12	36	233	21	
27	-42,82 MLWS	44,00	12	36	245	21	
28	-43,07 MLWS	44,25	12	36	257	21	
29	-43,32 MLWS	44,50	12	36	269	21	
30	-43,57 MLWS	44,75	12	36	281	21	
31	-43,82 MLWS	45,00	12	36	293	21	
32	-44,07 MLWS	45,25	12	36	305	21	
33	-44,32 MLWS	45,50	12	36	317	21	
34	-44,57 MLWS	45,75	12	36	329	21	
35	-44,82 MLWS	46,00	12	36	341	21	
36	-45,07 MLWS	46,25	12	36	353	21	
37	-45,32 MLWS	46,50	14	36	367	18	
38	-45,57 MLWS	46,75	14	36	381	18	
39	-45,82 MLWS	47,00	14	36	395	18	
40	-46,07 MLWS	47,25	14	36	409	18	
41	-46,32 MLWS	47,50	14	36	423	18	
42	-46,57 MLWS	47,75	14	36	437	18	
43	-46,82 MLWS	48,00	16	36	453	16	
44	-47,07 MLWS	48,25	16	36	469	16	
45	-47,32 MLWS	48,50	16	36	485	16	
46	-47,57 MLWS	48,75	16	36	501	16	
47	-47,82 MLWS	49,00	16	36	517	16	
48	-48,07 MLWS	49,25	18	36	535	14	
49	-48,32 MLWS	49,50	18	36	553	14	
50	-48,57 MLWS	49,75	18	36	571	14	
51	-48,82 MLWS	50,00	18	36	589	13,9	
52	-49,07 MLWS	50,25	20	36	609	12,5	
53	-49,32 MLWS	50,50	20	36	629	12,5	
54	-49,57 MLWS	50,75	20	36	649	12,5	
55	-49,82 MLWS	51,00	20	36	669	12,5	
56	-50,07 MLWS	51,25	20	36	689	12,5	
57	-50,32 MLWS	51,50	22	36	711	11,4	
58	-50,57 MLWS	51,75	22	36	733	11,4	
59	-50,82 MLWS	52,00	22	36	755	11,4	
60	-51,07 MLWS	52,25	22	36	777	11,4	
61	-51,32 MLWS	52,50	22	36	799	11,4	
62	-51,57 MLWS	52,75	22	36	821	11,4	
63	-51,82 MLWS	53,00	24	36	845	10,4	
64	-52,07 MLWS	53,25	24	36	869	10,4	
65	-52,32 MLWS	53,50	24	36	893	10,4	
66	-52,57 MLWS	53,75	24	36	917	10,4	
67	-52,82 MLWS	54,00	24	36	941	10,4	
68	-53,07 MLWS	54,25	24	72	965	10,4	
69	-53,32 MLWS	54,50	24	72	989	10,4	
70	-53,57 MLWS	54,75	24	72	1.013	10,4	
71	-53,82 MLWS	55,00	24	72	1.037	10,4	
72	-54,07 MLWS	55,25	24	72	1.061	10,4	
73	-54,32 MLWS	55,50	22	72	1.083	11,4	
74	-54,57 MLWS	55,75	22	72	1.105	11,4	
75	-54,82 MLWS	56,00	20	72	1.125	12,5	
76	-55,07 MLWS	56,25	20	72	1.145	12,5	
77	-55,32 MLWS	56,50	20	72	1.165	12,5	
78	-55,57 MLWS	56,75	20	72	1.185	12,5	
79	-55,82 MLWS	57,00	20	72	1.205	12,5	
80	-56,07 MLWS	57,25	22	80	1.227	11,4	
81	-56,32 MLWS	57,50	22	80	1.249	11,4	
82	-56,57 MLWS	57,75	22	80	1.271	11,4	
83	-56,82 MLWS	58,00	22	80	1.293	11,4	
84	-57,07 MLWS	58,25	22	80	1.315	11,4	
85	-57,32 MLWS	58,50	22	90	1.337	11,4	
86	-57,57 MLWS	58,75	22	90	1.359	11,4	
87	-57,82 MLWS	59,00	22	90	1.381	11,4	
88	-58,07 MLWS	59,25	22	90	1.403	11,4	
89	-58,32 MLWS	59,50	22	90	1.425	11,4	
90	-58,57 MLWS	59,75	22	100	1.447	11,4	
91	-58,82 MLWS	60,00	22	100	1.469	11,4	
92	-59,07 MLWS	60,25	22	110	1.491	11,4	
93	-59,32 MLWS	60,50	22	110	1.513	11,4	
94	-59,57 MLWS	60,75	24	110	1.537	10,4	
95	-59,82 MLWS	61,00	24	110	1.561	10,4	
96	-60,07 MLWS	61,25	22	110	1.583	11,4	
97	-60,32 MLWS	61,50	22	110	1.605	11,4	
98	-60,57 MLWS	61,75	22	110	1.627	11,4	
99	-60,82 MLWS	62,00	22	110	1.649	11,4	
100	-61,07 MLWS	62,25	22	110	1.671	11,4	
101	-61,32 MLWS	62,50	22	110	1.693	11,4	
102	-61,57 MLWS	62,75	22	110	1.715	11,4	
103	-61,82 MLWS	63,00	22	110	1.737	11,4	
104	-62,07 MLWS	63,25	22	110	1.759	11,4	
105	-62,32 MLWS	63,50	24	110	1.783	10,4	
106	-62,57 MLWS	63,75	26	120	1.809	9,6	
107	-62,82 MLWS	64,00	26	120	1.835	9,6	
108	-63,07 MLWS	64,25	26	120	1.861	9,6	
109	-63,32 MLWS	64,50	26	130	1.887	9,6	
110	-63,57 MLWS	64,75	26	130	1.913	9,6	
111	-63,82 MLWS	65,00	26	140	1.939	9,6	
112	-64,07 MLWS	65,25	26	140	1.965	9,6	
113	-64,32 MLWS	65,50	26	140	1.991	9,6	
114	-64,57 MLWS	65,75	26	140	2.017	9,6	
115	-64,82 MLWS	66,00	26	140	2.043	9,6	
116	-65,07 MLWS	66,25	26	150	2.069	9,6	
117	-65,32 MLWS	66,50	24	150	2.093	10,4	
118	-65,57 MLWS	66,75	24	150	2.117	10,4	
119	-65,82 MLWS	67,00	26	150	2.143	9,6	
120	-66,07 MLWS	67,25	26	150	2.169	9,6	
121	-66,32 MLWS	67,50	26	150	2.195	9,6	
122	-66,57 MLWS	67,75	26	150	2.221	9,6	
123	-66,82 MLWS	68,00	24	180	2.245	10,4	
124	-67,07 MLWS	68,25	26	180	2.271	9,6	
125	-67,32 MLWS	68,50	26	180	2.297	9,6	
126	-67,57 MLWS	68,75	26	180	2.323	9,6	
127	-67,82 MLWS	69,00	26	180	2.349	9,6	
128	-68,07 MLWS	69,25	26	190	2.375	9,6	
129	-68,32 MLWS	69,50	26	190	2.401	9,6	
130	-68,57 MLWS	69,75	24	190	2.425	10,4	
131	-68,82 MLWS	70,00	24	190	2.449	10,4	
132	-69,07 MLWS	70,25	24	190	2.473	10,4	
133	-69,32 MLWS	70,50	24	190	2.497	10,4	
134	-69,57 MLWS	70,75	24	200	2.521	10,4	
135	-69,82 MLWS	71,00	24	215	2.545	10,4	
136	-70,07 MLWS	71,25	24	225	2.569	10,4	
137	-70,32 MLWS	71,50	24	225	2.593	10,4	
138	-70,57 MLWS	71,75	22	225	2.615	11,4	
139	-70,82 MLWS	72,00	22	225	2.637	11,4	
140	-71,07 MLWS	72,25	22	225	2.659	11,4	
141	-71,32 MLWS	72,50	26	225	2.685	9,6	
142	-71,57 MLWS	72,75	26	225	2.711	9,6	
143	-71,82 MLWS	73,00	27	225	2.738	9,3	
144	-72,07 MLWS	73,25	28	225	2.766	8,9	
145	-72,32 MLWS	73,50	26	225	2.792	9,6	
