N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-29,41 MLWS	31,00					
2	-29,66 MLWS	31,25	4	36	4	63	
3	-29,91 MLWS	31,50	8	36	12	31	
4	-30,16 MLWS	31,75	8	36	20	31	
5	-30,41 MLWS	32,00	11	36	31	23	
6	-30,66 MLWS	32,25	10	36	41	25	
7	-30,91 MLWS	32,50	8	36	49	31	
8	-31,16 MLWS	32,75	8	36	57	31	
9	-31,41 MLWS	33,00	8	36	65	31	
10	-31,66 MLWS	33,25	8	36	73	31	
11	-31,91 MLWS	33,50	8	36	81	31	
12	-32,16 MLWS	33,75	8	36	89	31	
13	-32,41 MLWS	34,00	8	36	97	31	
14	-32,66 MLWS	34,25	8	36	105	31	
15	-32,91 MLWS	34,50	8	36	113	31	
16	-33,16 MLWS	34,75	8	36	121	31	
17	-33,41 MLWS	35,00	8	36	129	31	
18	-33,66 MLWS	35,25	8	36	137	31	
19	-33,91 MLWS	35,50	8	36	145	31	
20	-34,16 MLWS	35,75	8	36	153	31	
21	-34,41 MLWS	36,00	8	36	161	31	
22	-34,66 MLWS	36,25	8	36	169	31	
23	-34,91 MLWS	36,50	8	36	177	31	
24	-35,16 MLWS	36,75	8	36	185	31	
25	-35,41 MLWS	37,00	8	36	193	31	
26	-35,66 MLWS	37,25	8	36	201	31	
27	-35,91 MLWS	37,50	8	36	209	31	
28	-36,16 MLWS	37,75	8	36	217	31	
29	-36,41 MLWS	38,00	8	36	225	31	
30	-36,66 MLWS	38,25	8	36	233	31	
31	-36,91 MLWS	38,50	8	36	241	31	
32	-37,16 MLWS	38,75	8	36	249	31	
33	-37,41 MLWS	39,00	8	36	257	31	
34	-37,66 MLWS	39,25	8	36	265	31	
35	-37,91 MLWS	39,50	8	36	273	31	
36	-38,16 MLWS	39,75	8	36	281	31	
37	-38,41 MLWS	40,00	8	36	289	31	
38	-38,66 MLWS	40,25	8	36	297	31	
39	-38,91 MLWS	40,50	8	36	305	31	
40	-39,16 MLWS	40,75	8	36	313	31	
41	-39,41 MLWS	41,00	8	36	321	31	
42	-39,66 MLWS	41,25	8	36	329	31	
43	-39,91 MLWS	41,50	8	36	337	31	
44	-40,16 MLWS	41,75	8	36	345	31	
45	-40,41 MLWS	42,00	8	36	353	31	
46	-40,66 MLWS	42,25	8	36	361	31	
47	-40,91 MLWS	42,50	8	36	369	31	
48	-41,16 MLWS	42,75	8	36	377	31	
49	-41,41 MLWS	43,00	8	36	385	31	
50	-41,66 MLWS	43,25	8	36	393	31	
51	-41,91 MLWS	43,50	8	36	401	31,3	
52	-42,16 MLWS	43,75	8	36	409	31,3	
53	-42,41 MLWS	44,00	8	36	417	31,3	
54	-42,66 MLWS	44,25	8	36	425	31,3	
55	-42,91 MLWS	44,50	8	36	433	31,3	
56	-43,16 MLWS	44,75	9	36	442	27,8	
57	-43,41 MLWS	45,00	9	36	451	27,8	
58	-43,66 MLWS	45,25	9	36	460	27,8	
