N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-34,17 MLWS	35,25					
2	-34,42 MLWS	35,50	2	72	2	125	
3	-34,67 MLWS	35,75	2	72	4	125	
4	-34,92 MLWS	36,00	3	72	7	83	
5	-35,17 MLWS	36,25	2	72	9	125	
6	-35,42 MLWS	36,50	2	72	11	125	
7	-35,67 MLWS	36,75	3	72	14	83	
8	-35,92 MLWS	37,00	3	72	17	83	
9	-36,17 MLWS	37,25	2	72	19	125	
10	-36,42 MLWS	37,50	2	72	21	125	
11	-36,67 MLWS	37,75	2	72	23	125	
12	-36,92 MLWS	38,00	1	72	24	250	
13	-37,17 MLWS	38,25	2	72	26	125	
14	-37,42 MLWS	38,50	2	72	28	125	
15	-37,67 MLWS	38,75	1	72	29	250	
16	-37,92 MLWS	39,00	2	72	31	125	
17	-38,17 MLWS	39,25	3	72	34	83	
18	-38,42 MLWS	39,50	2	72	36	125	
19	-38,67 MLWS	39,75	2	72	38	125	
20	-38,92 MLWS	40,00	2	72	40	125	
21	-39,17 MLWS	40,25	2	72	42	125	
22	-39,42 MLWS	40,50	1	72	43	250	
23	-39,67 MLWS	40,75	1	72	44	250	
24	-39,92 MLWS	41,00	1	72	45	250	
25	-40,17 MLWS	41,25	1	72	46	250	
26	-40,42 MLWS	41,50	3	72	49	83	
27	-40,67 MLWS	41,75	2	72	51	125	
28	-40,92 MLWS	42,00	2	72	53	125	
29	-41,17 MLWS	42,25	2	72	55	125	
30	-41,42 MLWS	42,50	2	72	57	125	
31	-41,67 MLWS	42,75	2	72	59	125	
32	-41,92 MLWS	43,00	2	72	61	125	
33	-42,17 MLWS	43,25	2	72	63	125	
34	-42,42 MLWS	43,50	2	72	65	125	
35	-42,67 MLWS	43,75	2	72	67	125	
36	-42,92 MLWS	44,00	2	72	69	125	
37	-43,17 MLWS	44,25	2	72	71	125	
38	-43,42 MLWS	44,50	2	72	73	125	
39	-43,67 MLWS	44,75	2	72	75	125	
40	-43,92 MLWS	45,00	1	72	76	250	
41	-44,17 MLWS	45,25	1	72	77	250	
42	-44,42 MLWS	45,50	2	72	79	125	
43	-44,67 MLWS	45,75	1	72	80	250	
44	-44,92 MLWS	46,00	2	72	82	125	
45	-45,17 MLWS	46,25	2	72	84	125	
46	-45,42 MLWS	46,50	2	72	86	125	
47	-45,67 MLWS	46,75	2	72	88	125	
48	-45,92 MLWS	47,00	2	72	90	125	
49	-46,17 MLWS	47,25	2	72	92	125	
50	-46,42 MLWS	47,50	2	72	94	125	
51	-46,67 MLWS	47,75	2	72	96	125,0	
52	-46,92 MLWS	48,00	2	72	98	125,0	
53	-47,17 MLWS	48,25	2	72	100	125,0	
54	-47,42 MLWS	48,50	2	72	102	125,0	
55	-47,67 MLWS	48,75	2	72	104	125,0	
56	-47,92 MLWS	49,00	2	72	106	125,0	
57	-48,17 MLWS	49,25	2	72	108	125,0	
58	-48,42 MLWS	49,50	2	72	110	125,0	
59	-48,67 MLWS	49,75	2	72	112	125,0	
60	-48,92 MLWS	50,00	2	72	114	125,0	
61	-49,17 MLWS	50,25	2	72	116	125,0	
62	-49,42 MLWS	50,50	2	72	118	125,0	
63	-49,67 MLWS	50,75	2	72	120	125,0	
64	-49,92 MLWS	51,00	2	72	122	125,0	
65	-50,17 MLWS	51,25	3	72	125	83,3	
66	-50,42 MLWS	51,50	2	72	127	125,0	
67	-50,67 MLWS	51,75	2	72	129	125,0	
68	-50,92 MLWS	52,00	2	72	131	125,0	
69	-51,17 MLWS	52,25	2	72	133	125,0	
70	-51,42 MLWS	52,50	2	72	135	125,0	
71	-51,67 MLWS	52,75	2	72	137	125,0	
72	-51,92 MLWS	53,00	2	72	139	125,0	
73	-52,17 MLWS	53,25	2	72	141	125,0	
74	-52,42 MLWS	53,50	3	72	144	83,3	
75	-52,67 MLWS	53,75	4	72	148	62,5	
76	-52,92 MLWS	54,00	4	72	152	62,5	
77	-53,17 MLWS	54,25	3	72	155	83,3	
78	-53,42 MLWS	54,50	4	72	159	62,5	
79	-53,67 MLWS	54,75	5	72	164	50,0	
80	-53,92 MLWS	55,00	4	72	168	62,5	
81	-54,17 MLWS	55,25	3	72	171	83,3	
82	-54,42 MLWS	55,50	5	72	176	50,0	
83	-54,67 MLWS	55,75	6	72	182	41,7	
84	-54,92 MLWS	56,00	4	72	186	62,5	
85	-55,17 MLWS	56,25	5	72	191	50,0	
86	-55,42 MLWS	56,50	5	72	196	50,0	
87	-55,67 MLWS	56,75	6	72	202	41,7	
88	-55,92 MLWS	57,00	5	72	207	50,0	
89	-56,17 MLWS	57,25	5	72	212	50,0	
90	-56,42 MLWS	57,50	6	72	218	41,7	
91	-56,67 MLWS	57,75	6	72	224	41,7	
92	-56,92 MLWS	58,00	6	72	230	41,7	
93	-57,17 MLWS	58,25	7	72	237	35,7	
94	-57,42 MLWS	58,50	7	72	244	35,7	
95	-57,67 MLWS	58,75	6	72	250	41,7	
96	-57,92 MLWS	59,00	8	72	258	31,3	
97	-58,17 MLWS	59,25	7	72	265	35,7	
98	-58,42 MLWS	59,50	8	72	273	31,3	
99	-58,67 MLWS	59,75	8	72	281	31,3	
100	-58,92 MLWS	60,00	9	72	290	27,8	
101	-59,17 MLWS	60,25	9	72	299	27,8	
102	-59,42 MLWS	60,50	8	72	307	31,3	
103	-59,67 MLWS	60,75	8	72	315	31,3	
104	-59,92 MLWS	61,00	9	72	324	27,8	
105	-60,17 MLWS	61,25	10	72	334	25,0	
106	-60,42 MLWS	61,50	10	72	344	25,0	
107	-60,67 MLWS	61,75	10	72	354	25,0	
108	-60,92 MLWS	62,00	11	72	365	22,7	
109	-61,17 MLWS	62,25	10	72	375	25,0	
110	-61,42 MLWS	62,50	11	72	386	22,7	
111	-61,67 MLWS	62,75	13	72	399	19,2	
112	-61,92 MLWS	63,00	14	72	413	17,9	
113	-62,17 MLWS	63,25	13	72	426	19,2	
114	-62,42 MLWS	63,50	12	72	438	20,8	
115	-62,67 MLWS	63,75	14	72	452	17,9	
116	-62,92 MLWS	64,00	13	72	465	19,2	
117	-63,17 MLWS	64,25	15	72	480	16,7	
118	-63,42 MLWS	64,50	15	72	495	16,7	
119	-63,67 MLWS	64,75	14	72	509	17,9	
120	-63,92 MLWS	65,00	14	72	523	17,9	
121	-64,17 MLWS	65,25	14	72	537	17,9	
122	-64,42 MLWS	65,50	13	72	550	19,2	
123	-64,67 MLWS	65,75	15	72	565	16,7	
124	-64,92 MLWS	66,00	16	72	581	15,6	
125	-65,17 MLWS	66,25	16	72	597	15,6	
126	-65,42 MLWS	66,50	17	72	614	14,7	
127	-65,67 MLWS	66,75	19	72	633	13,2	
128	-65,92 MLWS	67,00	18	72	651	13,9	
129	-66,17 MLWS	67,25	18	72	669	13,9	
130	-66,42 MLWS	67,50	17	72	686	14,7	
131	-66,67 MLWS	67,75	16	72	702	15,6	
132	-66,92 MLWS	68,00	14	72	716	17,9	
133	-67,17 MLWS	68,25	15	72	731	16,7	
134	-67,42 MLWS	68,50	16	72	747	15,6	
135	-67,67 MLWS	68,75	18	72	765	13,9	
136	-67,92 MLWS	69,00	17	72	782	14,7	
137	-68,17 MLWS	69,25	16	72	798	15,6	
138	-68,42 MLWS	69,50	15	72	813	16,7	
139	-68,67 MLWS	69,75	21	292	834	11,9	
140	-68,92 MLWS	70,00	20	292	854	12,5	
141	-69,17 MLWS	70,25	19	292	873	13,2	
142	-69,42 MLWS	70,50	19	291	892	13,2	
143	-69,67 MLWS	70,75	19	290	911	13,2	
144	-69,92 MLWS	71,00	19	290	930	13,2	
145	-70,17 MLWS	71,25	18	289	948	13,9	
146	-70,42 MLWS	71,50	51	289	999	4,9	
147	-70,67 MLWS	71,75	8	291	1.007	31,3	
148	-70,92 MLWS	72,00	29	290	1.036	8,6	
149	-71,17 MLWS	72,25	1.036	-			
150	-71,42 MLWS	72,50	1.036	-			
