N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-33,22 MLWS	34,50					
2	-33,47 MLWS	34,75	3	72	3	83	
3	-33,72 MLWS	35,00	2	72	5	125	
4	-33,97 MLWS	35,25	2	72	7	125	
5	-34,22 MLWS	35,50	2	72	9	125	
6	-34,47 MLWS	35,75	2	72	11	125	
7	-34,72 MLWS	36,00	2	72	13	125	
8	-34,97 MLWS	36,25	2	72	15	125	
9	-35,22 MLWS	36,50	2	72	17	125	
10	-35,47 MLWS	36,75	2	72	19	125	
11	-35,72 MLWS	37,00	2	72	21	125	
12	-35,97 MLWS	37,25	2	72	23	125	
13	-36,22 MLWS	37,50	2	72	25	125	
14	-36,47 MLWS	37,75	2	72	27	125	
15	-36,72 MLWS	38,00	2	72	29	125	
16	-36,97 MLWS	38,25	3	72	32	83	
17	-37,22 MLWS	38,50	2	72	34	125	
18	-37,47 MLWS	38,75	3	72	37	83	
19	-37,72 MLWS	39,00	3	72	40	83	
20	-37,97 MLWS	39,25	2	72	42	125	
21	-38,22 MLWS	39,50	3	72	45	83	
22	-38,47 MLWS	39,75	3	72	48	83	
23	-38,72 MLWS	40,00	3	72	51	83	
24	-38,97 MLWS	40,25	2	72	53	125	
25	-39,22 MLWS	40,50	3	72	56	83	
26	-39,47 MLWS	40,75	3	72	59	83	
27	-39,72 MLWS	41,00	3	72	62	83	
28	-39,97 MLWS	41,25	4	72	66	63	
29	-40,22 MLWS	41,50	3	72	69	83	
30	-40,47 MLWS	41,75	3	72	72	83	
31	-40,72 MLWS	42,00	3	72	75	83	
32	-40,97 MLWS	42,25	3	72	78	83	
33	-41,22 MLWS	42,50	3	72	81	83	
34	-41,47 MLWS	42,75	4	72	85	63	
35	-41,72 MLWS	43,00	3	72	88	83	
36	-41,97 MLWS	43,25	4	72	92	63	
37	-42,22 MLWS	43,50	4	72	96	63	
38	-42,47 MLWS	43,75	4	72	100	63	
39	-42,72 MLWS	44,00	2	72	102	125	
40	-42,97 MLWS	44,25	1	72	103	250	
41	-43,22 MLWS	44,50	1	72	104	250	
42	-43,47 MLWS	44,75	2	72	106	125	
43	-43,72 MLWS	45,00	1	72	107	250	
44	-43,97 MLWS	45,25	2	72	109	125	
45	-44,22 MLWS	45,50	1	72	110	250	
46	-44,47 MLWS	45,75	1	72	111	250	
47	-44,72 MLWS	46,00	1	72	112	250	
48	-44,97 MLWS	46,25	1	72	113	250	
49	-45,22 MLWS	46,50	1	72	114	250	
50	-45,47 MLWS	46,75	1	72	115	250	
51	-45,72 MLWS	47,00	2	72	117	125,0	
52	-45,97 MLWS	47,25	2	72	119	125,0	
53	-46,22 MLWS	47,50	2	72	121	125,0	
54	-46,47 MLWS	47,75	2	72	123	125,0	
55	-46,72 MLWS	48,00	2	72	125	125,0	
56	-46,97 MLWS	48,25	2	72	127	125,0	
57	-47,22 MLWS	48,50	2	72	129	125,0	
58	-47,47 MLWS	48,75	3	72	132	83,3	
59	-47,72 MLWS	49,00	2	72	134	125,0	
60	-47,97 MLWS	49,25	2	72	136	125,0	
61	-48,22 MLWS	49,50	2	72	138	125,0	
62	-48,47 MLWS	49,75	3	72	141	83,3	
63	-48,72 MLWS	50,00	3	72	144	83,3	
64	-48,97 MLWS	50,25	3	72	147	83,3	
65	-49,22 MLWS	50,50	3	72	150	83,3	
66	-49,47 MLWS	50,75	3	72	153	83,3	
67	-49,72 MLWS	51,00	4	72	157	62,5	
68	-49,97 MLWS	51,25	4	72	161	62,5	
69	-50,22 MLWS	51,50	4	72	165	62,5	
70	-50,47 MLWS	51,75	3	72	168	83,3	
71	-50,72 MLWS	52,00	3	72	171	83,3	
72	-50,97 MLWS	52,25	3	72	174	83,3	
73	-51,22 MLWS	52,50	5	72	179	50,0	
74	-51,47 MLWS	52,75	4	72	183	62,5	
75	-51,72 MLWS	53,00	4	72	187	62,5	
76	-51,97 MLWS	53,25	4	72	191	62,5	
77	-52,22 MLWS	53,50	4	72	195	62,5	
