N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-31,27 MLWS	32,75					
2	-31,52 MLWS	33,00	3	36	3	83	
3	-31,77 MLWS	33,25	3	36	6	83	
4	-32,02 MLWS	33,50	4	36	10	63	
5	-32,27 MLWS	33,75	4	36	14	63	
6	-32,52 MLWS	34,00	4	36	18	63	
7	-32,77 MLWS	34,25	4	36	22	63	
8	-33,02 MLWS	34,50	3	36	25	83	
9	-33,27 MLWS	34,75	4	36	29	63	
10	-33,52 MLWS	35,00	4	36	33	63	
11	-33,77 MLWS	35,25	4	36	37	63	
12	-34,02 MLWS	35,50	4	36	41	63	
13	-34,27 MLWS	35,75	4	36	45	63	
14	-34,52 MLWS	36,00	4	36	49	63	
15	-34,77 MLWS	36,25	4	36	53	63	
16	-35,02 MLWS	36,50	4	36	57	63	
17	-35,27 MLWS	36,75	4	36	61	63	
18	-35,52 MLWS	37,00	5	36	66	50	
19	-35,77 MLWS	37,25	4	36	70	63	
20	-36,02 MLWS	37,50	3	36	73	83	
21	-36,27 MLWS	37,75	4	36	77	63	
22	-36,52 MLWS	38,00	3	36	80	83	
23	-36,77 MLWS	38,25	3	36	83	83	
24	-37,02 MLWS	38,50	3	36	86	83	
25	-37,27 MLWS	38,75	5	36	91	50	
26	-37,52 MLWS	39,00	5	36	96	50	
27	-37,77 MLWS	39,25	5	36	101	50	
28	-38,02 MLWS	39,50	5	36	106	50	
29	-38,27 MLWS	39,75	5	36	111	50	
30	-38,52 MLWS	40,00	5	36	116	50	
31	-38,77 MLWS	40,25	14	36	130	18	
32	-39,02 MLWS	40,50	14	36	144	18	
33	-39,27 MLWS	40,75	12	36	156	21	
34	-39,52 MLWS	41,00	12	36	168	21	
35	-39,77 MLWS	41,25	10	36	178	25	
36	-40,02 MLWS	41,50	11	36	189	23	
37	-40,27 MLWS	41,75	12	36	201	21	
38	-40,52 MLWS	42,00	10	36	211	25	
39	-40,77 MLWS	42,25	11	36	222	23	
40	-41,02 MLWS	42,50	12	36	234	21	
