N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-31,57 MLWS	33,00					
2	-31,82 MLWS	33,25	2	36	2	125	
3	-32,07 MLWS	33,50	6	36	8	42	
4	-32,32 MLWS	33,75	5	36	13	50	
5	-32,57 MLWS	34,00	5	36	18	50	
6	-32,82 MLWS	34,25	4	36	22	63	
7	-33,07 MLWS	34,50	4	36	26	63	
8	-33,32 MLWS	34,75	5	36	31	50	
9	-33,57 MLWS	35,00	5	36	36	50	
10	-33,82 MLWS	35,25	5	36	41	50	
11	-34,07 MLWS	35,50	4	36	45	63	
12	-34,32 MLWS	35,75	6	36	51	42	
13	-34,57 MLWS	36,00	4	36	55	63	
14	-34,82 MLWS	36,25	5	36	60	50	
15	-35,07 MLWS	36,50	5	36	65	50	
16	-35,32 MLWS	36,75	6	36	71	42	
17	-35,57 MLWS	37,00	6	36	77	42	
18	-35,82 MLWS	37,25	6	36	83	42	
19	-36,07 MLWS	37,50	5	36	88	50	
20	-36,32 MLWS	37,75	7	36	95	36	
21	-36,57 MLWS	38,00	6	36	101	42	
22	-36,82 MLWS	38,25	7	36	108	36	
23	-37,07 MLWS	38,50	7	36	115	36	
24	-37,32 MLWS	38,75	8	36	123	31	
25	-37,57 MLWS	39,00	7	36	130	36	
26	-37,82 MLWS	39,25	7	36	137	36	
27	-38,07 MLWS	39,50	8	36	145	31	
28	-38,32 MLWS	39,75	7	36	152	36	
29	-38,57 MLWS	40,00	7	36	159	36	
30	-38,82 MLWS	40,25	7	36	166	36	
31	-39,07 MLWS	40,50	7	36	173	36	
32	-39,32 MLWS	40,75	6	36	179	42	
33	-39,57 MLWS	41,00	7	36	186	36	
34	-39,82 MLWS	41,25	7	36	193	36	
35	-40,07 MLWS	41,50	7	36	200	36	
36	-40,32 MLWS	41,75	8	36	208	31	
37	-40,57 MLWS	42,00	8	36	216	31	
38	-40,82 MLWS	42,25	7	36	223	36	
39	-41,07 MLWS	42,50	6	36	229	42	
40	-41,32 MLWS	42,75	6	36	235	42	
41	-41,57 MLWS	43,00	7	36	242	36	
42	-41,82 MLWS	43,25	8	36	250	31	
43	-42,07 MLWS	43,50	12	36	262	21	
44	-42,32 MLWS	43,75	12	36	274	21	
45	-42,57 MLWS	44,00	13	36	287	19	
46	-42,82 MLWS	44,25	10	36	297	25	
47	-43,07 MLWS	44,50	10	36	307	25	
48	-43,32 MLWS	44,75	10	36	317	25	
49	-43,57 MLWS	45,00	10	36	327	25	
50	-43,82 MLWS	45,25	9	36	336	28	
51	-44,07 MLWS	45,50	8	36	344	31,3	
52	-44,32 MLWS	45,75	10	36	354	25,0	
53	-44,57 MLWS	46,00	13	36	367	19,2	
54	-44,82 MLWS	46,25	11	36	378	22,7	
55	-45,07 MLWS	46,50	10	36	388	25,0	
56	-45,32 MLWS	46,75	10	36	398	25,0	
57	-45,57 MLWS	47,00	12	36	410	20,8	
58	-45,82 MLWS	47,25	11	36	421	22,7	
59	-46,07 MLWS	47,50	10	36	431	25,0	
60	-46,32 MLWS	47,75	11	36	442	22,7	
61	-46,57 MLWS	48,00	11	36	453	22,7	
62	-46,82 MLWS	48,25	11	36	464	22,7	
63	-47,07 MLWS	48,50	11	36	475	22,7	
64	-47,32 MLWS	48,75	10	36	485	25,0	
65	-47,57 MLWS	49,00	12	36	497	20,8	
66	-47,82 MLWS	49,25	14	36	511	17,9	
67	-48,07 MLWS	49,50	12	36	523	20,8	
68	-48,32 MLWS	49,75	13	36	536	19,2	
69	-48,57 MLWS	50,00	10	36	546	25,0	
70	-48,82 MLWS	50,25	12	36	558	20,8	
71	-49,07 MLWS	50,50	13	36	571	19,2	
72	-49,32 MLWS	50,75	13	36	584	19,2	
73	-49,57 MLWS	51,00	10	36	594	25,0	
74	-49,82 MLWS	51,25	10	36	604	25,0	
75	-50,07 MLWS	51,50	10	36	614	25,0	
76	-50,32 MLWS	51,75	11	36	625	22,7	
77	-50,57 MLWS	52,00	11	72	636	22,7	
78	-50,82 MLWS	52,25	14	72	650	17,9	
79	-51,07 MLWS	52,50	14	72	664	17,9	
80	-51,32 MLWS	52,75	14	72	678	17,9	
81	-51,57 MLWS	53,00	14	72	692	17,9	
82	-51,82 MLWS	53,25	15	72	707	16,7	
83	-52,07 MLWS	53,50	15	72	722	16,7	
84	-52,32 MLWS	53,75	15	72	737	16,7	
85	-52,57 MLWS	54,00	15	72	752	16,7	
86	-52,82 MLWS	54,25	16	72	768	15,6	
87	-53,07 MLWS	54,50	16	72	784	15,6	
88	-53,32 MLWS	54,75	16	72	800	15,6	
89	-53,57 MLWS	55,00	16	72	816	15,6	
90	-53,82 MLWS	55,25	13	72	829	19,2	
91	-54,07 MLWS	55,50	15	72	844	16,7	
92	-54,32 MLWS	55,75	16	72	860	15,6	
93	-54,57 MLWS	56,00	13	72	873	19,2	
94	-54,82 MLWS	56,25	14	72	887	17,9	
95	-55,07 MLWS	56,50	14	100	901	17,9	
96	-55,32 MLWS	56,75	14	100	915	17,9	
97	-55,57 MLWS	57,00	14	110	929	17,9	
98	-55,82 MLWS	57,25	14	110	943	17,9	
99	-56,07 MLWS	57,50	16	110	959	15,6	
100	-56,32 MLWS	57,75	16	110	975	15,6	
101	-56,57 MLWS	58,00	23	110	998	10,9	
102	-56,82 MLWS	58,25	23	110	1.021	10,9	
103	-57,07 MLWS	58,50	25	110	1.046	10,0	
104	-57,32 MLWS	58,75	25	110	1.071	10,0	
105	-57,57 MLWS	59,00	25	110	1.096	10,0	
106	-57,82 MLWS	59,25	55	120	1.151	4,5	
107	-58,07 MLWS	59,50	50	120	1.201	5,0	
108	-58,32 MLWS	59,75	40	140	1.241	6,3	
109	-58,57 MLWS	60,00	42	140	1.283	6,0	
110	-58,82 MLWS	60,25	40	140	1.323	6,3	
111	-59,07 MLWS	60,50	35	160	1.358	7,1	
112	-59,32 MLWS	60,75	35	160	1.393	7,1	
113	-59,57 MLWS	61,00	32	160	1.425	7,8	
114	-59,82 MLWS	61,25	29	200	1.454	8,6	
115	-60,07 MLWS	61,50	28	200	1.482	8,9	
116	-60,32 MLWS	61,75	29	200	1.511	8,6	
117	-60,57 MLWS	62,00	29	200	1.540	8,6	
118	-60,82 MLWS	62,25	30	200	1.570	8,3	
119	-61,07 MLWS	62,50	29	200	1.599	8,6	
120	-61,32 MLWS	62,75	28	200	1.627	8,9	
121	-61,57 MLWS	63,00	28	200	1.655	8,9	
122	-61,82 MLWS	63,25	28	200	1.683	8,9	
123	-62,07 MLWS	63,50	30	200	1.713	8,3	
124	-62,32 MLWS	63,75	30	200	1.743	8,3	
125	-62,57 MLWS	64,00	35	230	1.778	7,1	
126	-62,82 MLWS	64,25	32	230	1.810	7,8	
127	-63,07 MLWS	64,50	35	230	1.845	7,1	
128	-63,32 MLWS	64,75	35	230	1.880	7,1	
129	-63,57 MLWS	65,00	35	230	1.915	7,1	
130	-63,82 MLWS	65,25	36	230	1.951	6,9	
131	-64,07 MLWS	65,50	36	230	1.987	6,9	
132	-64,32 MLWS	65,75	33	230	2.020	7,6	
133	-64,57 MLWS	66,00	33	230	2.053	7,6	
134	-64,82 MLWS	66,25	35	230	2.088	7,1	
135	-65,07 MLWS	66,50	36	230	2.124	6,9	
136	-65,32 MLWS	66,75	36	230	2.160	6,9	
137	-65,57 MLWS	67,00	33	230	2.193	7,6	
138	-65,82 MLWS	67,25	36	230	2.229	6,9	
139	-66,07 MLWS	67,50	33	230	2.262	7,6	
140	-66,32 MLWS	67,75	35	230	2.297	7,1	
141	-66,57 MLWS	68,00	35	230	2.332	7,1	
142	-66,82 MLWS	68,25	36	230	2.368	6,9	
143	-67,07 MLWS	68,50	36	230	2.404	6,9	
144	-67,32 MLWS	68,75	38	230	2.442	6,6	
145	-67,57 MLWS	69,00	38	230	2.480	6,6	
146	-67,82 MLWS	69,25	36	230	2.516	6,9	
147	-68,07 MLWS	69,50	38	230	2.554	6,6	
148	-68,32 MLWS	69,75	38	230	2.592	6,6	
149	-68,57 MLWS	70,00	38	230	2.630	6,6	
150	-68,82 MLWS	70,25	38	230	2.668	6,6	
151	-69,07 MLWS	70,50	19	250	2.687	13,2	
152	-69,32 MLWS	70,75	19	250	2.706	13,2	
153	-69,57 MLWS	71,00	19	250	2.725	13,2	
154	-69,82 MLWS	71,25	19	250	2.744	13,2	
155	-70,07 MLWS	71,50	20	250	2.764	12,5	
156	-70,32 MLWS	71,75	22	250	2.786	11,4	
157	-70,57 MLWS	72,00	22	250	2.808	11,4	
158	-70,82 MLWS	72,25	21	250	2.829	11,9	
159	-71,07 MLWS	72,50	22	250	2.851	11,4	
160	-71,32 MLWS	72,75	21	250	2.872	11,9	
161	-71,57 MLWS	73,00	22	250	2.894	11,4	
162	-71,82 MLWS	73,25	22	250	2.916	11,4	
163	-72,07 MLWS	73,50	20	250	2.936	12,5	
164	-72,32 MLWS	73,75	20	250	2.956	12,5	
165	-72,57 MLWS	74,00	20	250	2.976	12,5	
166	-72,82 MLWS	74,25	22	250	2.998	11,4	
167	-73,07 MLWS	74,50	22	250	3.020	11,4	
168	-73,32 MLWS	74,75	21	250	3.041	11,9	
169	-73,57 MLWS	75,00	15	250	3.056	16,7	
170	-73,82 MLWS	75,25	15	250	3.071	16,7	
171	-74,07 MLWS	75,50	10	250	3.081	25,0	
172	-74,32 MLWS	75,75	15	250	3.096	16,7	
173	-74,57 MLWS	76,00	10	250	3.106	25,0	
174	-74,82 MLWS	76,25	15	250	3.121	16,7	
175	-75,07 MLWS	76,50	15	250	3.136	16,7	
176	-75,32 MLWS	76,75	15	250	3.151	16,7	
177	-75,57 MLWS	77,00	16	250	3.167	15,6	
178	-75,82 MLWS	77,25	10	250	3.177	25,0	
179	-76,07 MLWS	77,50	3.177	-			
180	-76,32 MLWS	77,75	3.177	-			
181	-76,57 MLWS	78,00	3.177	-			
182	-76,82 MLWS	78,25	3.177	-			
183	-77,07 MLWS	78,50	3.177	-			
184	-77,32 MLWS	78,75	3.177	-			
185	-77,57 MLWS	79,00	3.177	-			
186	-77,82 MLWS	79,25	3.177	-			
187	-78,07 MLWS	79,50	3.177	-			
188	-78,32 MLWS	79,75	3.177	-			
189	-78,57 MLWS	80,00	3.177	-			
190	-78,82 MLWS	80,25	3.177	-			
191	-79,07 MLWS	80,50	3.177	-			
192	-79,32 MLWS	80,75	3.177	-			
193	-79,57 MLWS	81,00	3.177	-			
194	-79,82 MLWS	81,25	3.177	-			
195	-80,07 MLWS	81,50	3.177	-			
196	-80,32 MLWS	81,75	3.177	-			
197	-80,57 MLWS	82,00	3.177	-			
198	-80,82 MLWS	82,25	3.177	-			
199	-81,07 MLWS	82,50	3.177	-			
200	-81,32 MLWS	82,75	3.177	-			
201	-81,57 MLWS	83,00	3.177	-			
202	-81,82 MLWS	83,25	-	3.177			
203	-82,07 MLWS	83,50	3.177	-			
204	-82,32 MLWS	83,75	3.177	-			
205	-82,57 MLWS	84,00	3.177	-			
206	-82,82 MLWS	84,25	3.177	-			
207	-83,07 MLWS	84,50	3.177	-			
208	-83,32 MLWS	84,75	3.177	-			
209	-83,57 MLWS	85,00	3.177	-			
210	-83,82 MLWS	85,25	3.177	-			
211	-84,07 MLWS	85,50	3.177	-			
212	-84,32 MLWS	85,75	3.177	-			
213	-84,57 MLWS	86,00	3.177	-			
214	-84,82 MLWS	86,25	3.177	-			
215	-85,07 MLWS	86,50	3.177	-			
216	-85,32 MLWS	86,75	3.177	-			
217	-85,57 MLWS	87,00	3.177	-			
218	-85,82 MLWS	87,25	3.177	-			
219	-86,07 MLWS	87,50	3.177	-			
220	-86,32 MLWS	87,75	3.177	-			
221	-86,57 MLWS	88,00	3.177	-			
222	-86,82 MLWS	88,25	3.177	-			
223	-87,07 MLWS	88,50	3.177	-			
224	-87,32 MLWS	88,75	3.177	-			
251	-94,07 MLWS	95,50	30	200	3.207	8,3	
252	-94,32 MLWS	95,75	31	200	3.238	8,1	
253	-94,57 MLWS	96,00	31	200	3.269	8,1	
254	-94,82 MLWS	96,25	33	210	3.302	7,6	
255	-95,07 MLWS	96,50	30	210	3.332	8,3	
256	-95,32 MLWS	96,75	31	210	3.363	8,1	
257	-95,57 MLWS	97,00	32	210	3.395	7,8	
258	-95,82 MLWS	97,25	33	210	3.428	7,6	
259	-96,07 MLWS	97,50	31	210	3.459	8,1	
260	-96,32 MLWS	97,75	31	210	3.490	8,1	
261	-96,57 MLWS	98,00	32	210	3.522	7,8	
262	-96,82 MLWS	98,25	32	210	3.554	7,8	
263	-97,07 MLWS	98,50	33	210	3.587	7,6	
264	-97,32 MLWS	98,75	33	210	3.620	7,6	
265	-97,57 MLWS	99,00	27	210	3.647	9,3	
266	-97,82 MLWS	99,25	33	210	3.680	7,6	
267	-98,07 MLWS	99,50	33	210	3.713	7,6	
268	-98,32 MLWS	99,75	33	210	3.746	7,6	
269	-98,57 MLWS	100,00	32	210	3.778	7,8	
270	-98,82 MLWS	100,25	33	210	3.811	7,6	
271	-99,07 MLWS	100,50	33	210	3.844	7,6	
272	-99,32 MLWS	100,75	33	210	3.877	7,6	
273	-99,57 MLWS	101,00	33	210	3.910	7,6	
274	-99,82 MLWS	101,25	33	210	3.943	7,6	
