N°	Toe Level	Graduation	Blow_Count	Energy(kJ)	Cumulative_blow_Count	Penetration_per_blow(mm/blow)	comments
1	-32,35 MLWS	33,50					
2	-32,60 MLWS	33,75	4	72	4	63	
3	-32,85 MLWS	34,00	4	72	8	63	
4	-33,10 MLWS	34,25	4	72	12	63	
5	-33,35 MLWS	34,50	4	72	16	63	
6	-33,60 MLWS	34,75	4	72	20	63	
7	-33,85 MLWS	35,00	4	72	24	63	
8	-34,10 MLWS	35,25	3	72	27	83	
9	-34,35 MLWS	35,50	2	72	29	125	
10	-34,60 MLWS	35,75	2	72	31	125	
11	-34,85 MLWS	36,00	2	72	33	125	
12	-35,10 MLWS	36,25	2	72	35	125	
13	-35,35 MLWS	36,50	2	72	37	125	
14	-35,60 MLWS	36,75	2	72	39	125	
15	-35,85 MLWS	37,00	2	72	41	125	
16	-36,10 MLWS	37,25	2	72	43	125	
17	-36,35 MLWS	37,50	2	72	45	125	
18	-36,60 MLWS	37,75	2	72	47	125	
19	-36,85 MLWS	38,00	2	72	49	125	
20	-37,10 MLWS	38,25	2	72	51	125	
21	-37,35 MLWS	38,50	2	72	53	125	
22	-37,60 MLWS	38,75	2	72	55	125	
23	-37,85 MLWS	39,00	2	72	57	125	
24	-38,10 MLWS	39,25	2	72	59	125	
25	-38,35 MLWS	39,50	2	72	61	125	
26	-38,60 MLWS	39,75	4	72	65	63	
27	-38,85 MLWS	40,00	6	72	71	42	
28	-39,10 MLWS	40,25	20	72	91	13	
29	-39,35 MLWS	40,50	14	72	105	18	
30	-39,60 MLWS	40,75	13	72	118	19	
31	-39,85 MLWS	41,00	10	72	128	25	
32	-40,10 MLWS	41,25	11	72	139	23	
33	-40,35 MLWS	41,50	11	72	150	23	
34	-40,60 MLWS	41,75	11	72	161	23	
35	-40,85 MLWS	42,00	10	72	171	25	
36	-41,10 MLWS	42,25	13	72	184	19	
37	-41,35 MLWS	42,50	9	72	193	28	
38	-41,60 MLWS	42,75	9	72	202	28	
39	-41,85 MLWS	43,00	9	72	211	28	
40	-42,10 MLWS	43,25	10	72	221	25	
41	-42,35 MLWS	43,50	10	72	231	25	
42	-42,60 MLWS	43,75	10	72	241	25	
43	-42,85 MLWS	44,00	10	72	251	25	
44	-43,10 MLWS	44,25	11	72	262	23	
45	-43,35 MLWS	44,50	9	72	271	28	
46	-43,60 MLWS	44,75	7	72	278	36	
47	-43,85 MLWS	45,00	7	72	285	36	
48	-44,10 MLWS	45,25	9	72	294	28	
49	-44,35 MLWS	45,50	9	72	303	28	
50	-44,60 MLWS	45,75	9	72	312	28	
51	-44,85 MLWS	46,00	9	72	321	27,8	
52	-45,10 MLWS	46,25	8	72	329	31,3	
53	-45,35 MLWS	46,50	10	72	339	25,0	
54	-45,60 MLWS	46,75	10	72	349	25,0	
55	-45,85 MLWS	47,00	10	72	359	25,0	
56	-46,10 MLWS	47,25	11	72	370	22,7	
57	-46,35 MLWS	47,50	11	72	381	22,7	
58	-46,60 MLWS	47,75	10	72	391	25,0	
59	-46,85 MLWS	48,00	10	72	401	25,0	
60	-47,10 MLWS	48,25	10	72	411	25,0	
61	-47,35 MLWS	48,50	10	72	421	25,0	
62	-47,60 MLWS	48,75	10	72	431	25,0	
63	-47,85 MLWS	49,00	10	72	441	25,0	
64	-48,10 MLWS	49,25	11	72	452	22,7	
65	-48,35 MLWS	49,50	14	72	466	17,9	
66	-48,60 MLWS	49,75	13	72	479	19,2	
67	-48,85 MLWS	50,00	13	72	492	19,2	
68	-49,10 MLWS	50,25	9	85	501	27,8	
69	-49,35 MLWS	50,50	13	85	514	19,2	
70	-49,60 MLWS	50,75	12	85	526	20,8	
71	-49,85 MLWS	51,00	12	85	538	20,8	
72	-50,10 MLWS	51,25	10	85	548	25,0	
73	-50,35 MLWS	51,50	13	85	561	19,2	
74	-50,60 MLWS	51,75	14	85	575	17,9	
75	-50,85 MLWS	52,00	15	85	590	16,7	
76	-51,10 MLWS	52,25	14	85	604	17,9	
77	-51,35 MLWS	52,50	15	85	619	16,7	
78	-51,60 MLWS	52,75	15	85	634	16,7	
79	-51,85 MLWS	53,00	16	85	650	15,6	
80	-52,10 MLWS	53,25	18	85	668	13,9	
81	-52,35 MLWS	53,50	19	85	687	13,2	
82	-52,60 MLWS	53,75	20	85	707	12,5	
83	-52,85 MLWS	54,00	21	85	728	11,9	
84	-53,10 MLWS	54,25	19	85	747	13,2	
85	-53,35 MLWS	54,50	20	85	767	12,5	
86	-53,60 MLWS	54,75	21	85	788	11,9	
87	-53,85 MLWS	55,00	23	85	811	10,9	
88	-54,10 MLWS	55,25	23	85	834	10,9	
89	-54,35 MLWS	55,50	24	85	858	10,4	
90	-54,60 MLWS	55,75	23	75	881	10,9	
91	-54,85 MLWS	56,00	25	75	906	10,0	
92	-55,10 MLWS	56,25	25	75	931	10,0	
93	-55,35 MLWS	56,50	26	75	957	9,6	
94	-55,60 MLWS	56,75	26	75	983	9,6	
95	-55,85 MLWS	57,00	27	75	1.010	9,3	
96	-56,10 MLWS	57,25	27	75	1.037	9,3	
97	-56,35 MLWS	57,50	27	75	1.064	9,3	
98	-56,60 MLWS	57,75	28	75	1.092	8,9	
99	-56,85 MLWS	58,00	28	75	1.120	8,9	
100	-57,10 MLWS	58,25	29	75	1.149	8,6	
101	-57,35 MLWS	58,50	37	75	1.186	6,8	
102	-57,60 MLWS	58,75	34	75	1.220	7,4	
103	-57,85 MLWS	59,00	34	75	1.254	7,4	
104	-58,10 MLWS	59,25	31	75	1.285	8,1	
105	-58,35 MLWS	59,50	40	75	1.325	6,3	
106	-58,60 MLWS	59,75	38	75	1.363	6,6	
107	-58,85 MLWS	60,00	38	80	1.401	6,6	
108	-59,10 MLWS	60,25	40	100	1.441	6,3	
109	-59,35 MLWS	60,50	38	100	1.479	6,6	
110	-59,60 MLWS	60,75	36	120	1.515	6,9	
111	-59,85 MLWS	61,00	36	120	1.551	6,9	
112	-60,10 MLWS	61,25	30	120	1.581	8,3	
113	-60,35 MLWS	61,50	29	120	1.610	8,6	
114	-60,60 MLWS	61,75	30	120	1.640	8,3	
115	-60,85 MLWS	62,00	30	120	1.670	8,3	
