ID_VIA_250,VALFIS,VUL,TIPO,SUPERFICIE,CALZADAS,LYR,REGION,LONG_KM,LS_B_A,LS_G26_30A,LS_G26_50A,LS_G45_30A,LS_G45_50A,LS_G70_30A,LS_G70_50A,LS_G85_30A,LS_G85_50A,LS_M26_30A,LS_M26_50A,LS_M45_30A,LS_M45_50A,LS_M70_30A,LS_M70_50A,LS_M85_30A,LS_M85_50A,FL_B_A,FL_G26_30A,FL_G26_50A,FL_G45_30A,FL_G45_50A,FL_G70_30A,FL_G70_50A,FL_G85_30A,FL_G85_50A,FL_M26_30A,FL_M26_50A,FL_M45_30A,FL_M45_50A,FL_M70_30A,FL_M70_50A,FL_M85_30A,FL_M85_50A,HU_B_A,HU_G26_30A,HU_G26_50A,HU_G45_30A,HU_G45_50A,HU_G70_30A,HU_G70_50A,HU_G85_30A,HU_G85_50A,HU_M26_30A,HU_M26_50A,HU_M45_30A,HU_M45_50A,HU_M70_30A,HU_M70_50A,HU_M85_30A,HU_M85_50A,DEPTO,ID_2,,,,,,,,,
ID_110457,187600,ROAD_T2_S1,Departamental,Sin Afirmar,1,RVD_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazonas,1,,,,,,,,,
ID_110458,187600,ROAD_T2_S1,Departamental,Sin Afirmar,1,RVD_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazonas,1,,,,,,,,,
ID_110459,187600,ROAD_T2_S1,Departamental,Sin Afirmar,1,RVD_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazonas,1,,,,,,,,,
ID_110460,187600,ROAD_T2_S1,Departamental,Sin Afirmar,1,RVD_simp,Selva,0.25,707,716,729,709,755,733,738,742,750,715,726,720,710,751,714,724,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazonas,1,,,,,,,,,
ID_110461,187600,ROAD_T2_S1,Departamental,Sin Afirmar,1,RVD_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazonas,1,,,,,,,,,
ID_110462,187600,ROAD_T2_S1,Departamental,Sin Afirmar,1,RVD_simp,Selva,0.25,ID_626332,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151
ID_626333,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626334,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626335,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626336,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626337,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
